SkDg;typDg;kodDg;nazovDg
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Sepsa“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Stupor a kóma netraumatického pôvodu“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Trombocytopénie a trombocytopatie“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia srdcových chlopní“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Hypertenzia“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Insuficiencia srdca a šok“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Instabilná angina pectoris“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Koronárna arterioskleróza“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Akútny infarkt myokardu“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Synkopa a kolaps“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Arytmia a poruchy vedenia vzruchov“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Tažká arytmia“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Zastavenie srdca“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Periférne ochorenia ciev“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Žilová trombóza“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Rôzne ochorenia GIT“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné neinfekčné gastroenteritídy a kolitídy“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné ochorenia GIT II.“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Bolesť na hrudníku“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Lymfóm a neakútna leukémia“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Zápal pľúc“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Závažné ochorenia pankreasu“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Závažné ochorenia pečene“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Zhubné nádory močových orgánov“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Získané poruchy hemostázy“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Žlčníkový kameň a iné vybrané ochorenia“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Zhubné nádory ucha, nosa, úst a krku“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné ochorenia oka a očných adnexov“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Extrémna obezita s alveolovou hypoventiláciou“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Vrodené metabolické poruchy“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné ochorenia obehového systému“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Intersticiálna choroba pľúc II.“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Cirhóza pečene“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia pečene II.“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia žlčníka a žlčovodov“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia pankreasu II.“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné ochorenia pohybového systému“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Toxický účinok požitých húb“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Barrettov pažerák“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Iné ochorenia GIT“
Ochorenia v internej medicíne;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia GIT“
Kardiovaskulárne ochorenia;hlavná;I*;všetky diagnózy s kódom začínajúcim na „I“
Akútny peptický vred jejúna;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Akútny peptický vred jejúna“
Ascites;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ascites“
Barrettov pažerák;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Barrettov pažerák“
Crohnova choroba pažeráka, žalúdka a čreva;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Crohnova choroba pažeráka, žalúdka a čreva“
Gastrointestinálne krvácanie;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Gastrointestinálne krvácanie“
Komplexné ochorenia pažeráka;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Komplexné ochorenia pažeráka“
Komplexné ochorenia GIT;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Komplexné ochorenia GIT“
Komplexné ochorenie pečene;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Komplexné ochorenie pečene“
Nezhubné nádory GIT;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Nezhubné nádory GIT“
Ochorenia GIT;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Ochorenia GIT“
Závažné ochorenia pankreasu;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Závažné ochorenia pankreasu“
Závažné ochorenia pečene;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Závažné ochorenia pečene“
Žlčníkový kameň a iné vybrané ochorenia;hlavná;Vzťahuje sa na viacero diagnóz;diagnózy podľa medicínskej služby „Žlčníkový kameň a iné vybrané ochorenia“
Toxický účinok požitých húb;hlavná;T620;Toxický účinok požitých húb
Akútne zlyhanie pečene;hlavná;K720;Akútne zlyhanie pečene
Stav po transplantácii pečene;hlavná;Z944;Stav po transplantácii pečene
Rôzne ochorenia GIT;hlavná;K222;Nepriechodnosť pažeráka
Rôzne ochorenia GIT;hlavná;K315;Nepriechodnosť dvanástnika
Rôzne ochorenia GIT;hlavná;K317;Polyp žalúdka a dvanástnika
Rôzne ochorenia GIT;hlavná;K627;Radiačná proktitída
Echinokokóza;hlavná;B670;Cystická echinokokóza pečene zapríčinená Echinococcus granulosus
Echinokokóza;hlavná;B675;Alveolová echinokokóza pečene zapríčinená Echinococcus multilocularis
Echinokokóza;hlavná;B678;Echinokokóza pečene, bližšie neurčená
Enterokolitída zapríčinená Clostridium difficile;hlavná;A047;Enterokolitída zapríčinená Clostridium difficile
Diabetes mellitus s komplikáciami;hlavná;E1020;Diabetes mellitus 1. typu: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1021;Diabetes mellitus 1. typu: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1050;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1051;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1074;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1075;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1120;Diabetes mellitus 2. typu: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1121;Diabetes mellitus 2. typu: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1150;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1151;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1174;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1175;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1220;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1221;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1230;Diabetes mellitus spojený s podvýživou: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1231;Diabetes mellitus spojený s podvýživou: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1250;Diabetes mellitus spojený s podvýživou: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1251;Diabetes mellitus spojený s podvýživou: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1320;Iný diabetes mellitus, bližšie určený: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1321;Iný diabetes mellitus, bližšie určený: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1330;Iný diabetes mellitus, bližšie určený: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1331;Iný diabetes mellitus, bližšie určený: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1350;Iný diabetes mellitus, bližšie určený: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1351;Iný diabetes mellitus, bližšie určený: s periférnymi cievnymi komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1420;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1421;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1430;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1431;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami, dekompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1450;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, kompenzovaný
Diabetes mellitus s komplikáciami;hlavná;E1451;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami, dekompenzovaný
Komplexné endokrinopatie;hlavná;E200;Idiopatická hypoparatyreóza
Komplexné endokrinopatie;hlavná;E208;Iná hypoparatyreóza
Komplexné endokrinopatie;hlavná;E209;Hypoparatyreóza, bližšie neurčená
Komplexné endokrinopatie;hlavná;E210;Primárna hyperparatyreóza
Komplexné endokrinopatie;hlavná;E211;Sekundárna hyperparatyreóza, nezatriedená inde
Komplexné endokrinopatie;hlavná;E212;Iná hyperparatyreóza
Komplexné endokrinopatie;hlavná;E213;Hyperparatyreóza, bližšie neurčená
Komplexné endokrinopatie;hlavná;E214;Iná bližšie určená choroba prištítnych žliaz
Komplexné endokrinopatie;hlavná;E215;Choroba prištítnych žliaz, bližšie neurčená
Komplexné endokrinopatie;hlavná;E232;Diabetes insipidus
Komplexné endokrinopatie;hlavná;E272;Addisonova kríza
Komplexné endokrinopatie;hlavná;E275;Hyperfunkcia drene nadobličiek
Komplexné endokrinopatie;hlavná;E278;Iná choroba nadobličiek, bližšie určená
Komplexné endokrinopatie;hlavná;E279;Choroba nadobličiek, bližšie neurčená
Komplexné endokrinopatie;hlavná;E290;Hyperfunkcia semenníkov
Komplexné endokrinopatie;hlavná;E291;Hypofunkcia semenníkov
Komplexné endokrinopatie;hlavná;E298;Iná porucha funkcie semenníkov
Komplexné endokrinopatie;hlavná;E890;Hypotyreóza po lekárskom výkone
Komplexné endokrinopatie;hlavná;E892;Hypoparatyreóza po lekárskom výkone
Komplexné endokrinopatie;hlavná;E893;Hypopituitarizmus po lekárskom výkone
Komplexné endokrinopatie;hlavná;E895;Hypofunkcia semenníkov po lekárskom výkone
Komplexné endokrinopatie;hlavná;E896;Hypofunkcia kôry nadobličiek alebo drene nadobličiek po lekárskom výkone
Komplexné endokrinopatie;hlavná;E898;Iná endokrinná a metabolická porucha po lekárskom výkone
Komplexné endokrinopatie;hlavná;E899;Endokrinná a metabolická porucha po lekárskom výkone, bližšie neurčená
Komplexné endokrinopatie;hlavná;E90;Nutričná a metabolická porucha pri chorobách zatriedených inde
Komplexné endokrinopatie;hlavná;E891;Hypoinzulinémia po lekárskom výkone
Vysoko komplexné endokrinopatie;hlavná;D352;Nezhubný nádor podmozgovej žľazy
Vysoko komplexné endokrinopatie;hlavná;E163;Zvýšená sekrécia glukagónu
Vysoko komplexné endokrinopatie;hlavná;E220;Akromegália a pituitárny gigantizmus
Vysoko komplexné endokrinopatie;hlavná;E221;Hyperprolaktinémia
Vysoko komplexné endokrinopatie;hlavná;E222;Syndróm neprimeranej sekrécie antidiuretického hormónu
Vysoko komplexné endokrinopatie;hlavná;E228;Iná hyperfunkcia hypofýzy
Vysoko komplexné endokrinopatie;hlavná;E229;Hyperfunkcia hypofýzy, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E230;Hypopituitarizmus
Vysoko komplexné endokrinopatie;hlavná;E231;Hypopituitarizmus zapríčinený liekom
Vysoko komplexné endokrinopatie;hlavná;E233;Dysfunkcia hypotalamu, nezatriedená inde
Vysoko komplexné endokrinopatie;hlavná;E236;Iná choroba hypofýzy
Vysoko komplexné endokrinopatie;hlavná;E237;Choroba hypofýzy, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E240;Centrálny Cushingov syndróm
Vysoko komplexné endokrinopatie;hlavná;E241;Nelsonov syndróm
Vysoko komplexné endokrinopatie;hlavná;E242;Cushingov syndróm zapríčinený liekom
Vysoko komplexné endokrinopatie;hlavná;E243;Ektopický ACTH-syndróm
Vysoko komplexné endokrinopatie;hlavná;E244;Pseudo-Cushingov syndróm zapríčinený alkoholom
Vysoko komplexné endokrinopatie;hlavná;E248;Periférny Cushingov syndróm
Vysoko komplexné endokrinopatie;hlavná;E249;Cushingov syndróm, bližšie neurčený
Vysoko komplexné endokrinopatie;hlavná;E2500;Adrenogenitálna porucha, typ 3 (nedostatok 21-hydroxylázy), klasická forma
Vysoko komplexné endokrinopatie;hlavná;E2501;Adrenogenitálna porucha, typ 3 (nedostatok 21-hydroxylázy), forma s neskorým nástupom
Vysoko komplexné endokrinopatie;hlavná;E2508;Iná vrodená adrenogenitálna porucha spojená s nedostatkom enzýmov
Vysoko komplexné endokrinopatie;hlavná;E2509;Vrodená adrenogenitálna porucha spojená s nedostatkom enzýmov, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E258;Iná adrenogenitálna porucha
Vysoko komplexné endokrinopatie;hlavná;E259;Adrenogenitálna porucha, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E260;Primárny hyperaldosteronizmus
Vysoko komplexné endokrinopatie;hlavná;E261;Sekundárny hyperaldosteronizmus
Vysoko komplexné endokrinopatie;hlavná;E268;Iný hyperaldosteronizmus
Vysoko komplexné endokrinopatie;hlavná;E269;Hyperaldosteronizmus, bližšie neurčený
Vysoko komplexné endokrinopatie;hlavná;E270;Iná hyperfunkcia kôry nadobličiek
Vysoko komplexné endokrinopatie;hlavná;E271;Primárna nedostatočnosť kôry nadobličiek (Addisonova choroba)
Vysoko komplexné endokrinopatie;hlavná;E273;Nedostatočnosť kôry nadobličiek zapríčinená liekmi
Vysoko komplexné endokrinopatie;hlavná;E274;Iná a bližšie neurčená nedostatočnosť kôry nadobličiek
Vysoko komplexné endokrinopatie;hlavná;E299;Porucha funkcie semenníkov, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E300;Oneskorená puberta
Vysoko komplexné endokrinopatie;hlavná;E301;Predčasná puberta
Vysoko komplexné endokrinopatie;hlavná;E308;Iná porucha puberty
Vysoko komplexné endokrinopatie;hlavná;E309;Porucha puberty, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E310;Autoimunitná polyglandulárna insuficiencia
Vysoko komplexné endokrinopatie;hlavná;E311;Polyglandulárna hyperfunkcia
Vysoko komplexné endokrinopatie;hlavná;E318;Iná polyglandulárna dysfunkcia
Vysoko komplexné endokrinopatie;hlavná;E319;Polyglandulárna dysfunkcia, bližšie neurčená
Vysoko komplexné endokrinopatie;hlavná;E340;Karcinoidový syndróm
Vysoko komplexné endokrinopatie;hlavná;E341;Iná hypersekrécia črevných hormónov
Vysoko komplexné endokrinopatie;hlavná;E342;Ektopická sekrécia hormónov, nezatriedená inde
Vysoko komplexné endokrinopatie;hlavná;E343;Nízky vzrast, nezatriedený inde
Vysoko komplexné endokrinopatie;hlavná;E344;Konštitučne vysoká postava
Vysoko komplexné endokrinopatie;hlavná;E3450;Syndróm čiastočnej rezistencie na androgény
Vysoko komplexné endokrinopatie;hlavná;E3451;Syndróm kompletnej rezistencie na androgény
Vysoko komplexné endokrinopatie;hlavná;E3459;Syndróm rezistencie na androgény, bližšie neurčený
Vybrané nefrologické ochorenia;hlavná;M311;Trombotická mikroangiopatia
Vybrané nefrologické ochorenia;hlavná;N000;Akútny nefritický syndróm: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N001;Akútny nefritický syndróm: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N002;Akútny nefritický syndróm: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N003;Akútny nefritický syndróm: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N004;Akútny nefritický syndróm: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N005;Akútny nefritický syndróm: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N006;Akútny nefritický syndróm: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N007;Akútny nefritický syndróm: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N008;Akútny nefritický syndróm: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N009;Akútny nefritický syndróm: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N010;Rýchlo progredujúci nefritický syndróm: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N011;Rýchlo progredujúci nefritický syndróm: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N012;Rýchlo progredujúci nefritický syndróm: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N013;Rýchlo progredujúci nefritický syndróm: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N014;Rýchlo progredujúci nefritický syndróm: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N015;Rýchlo progredujúci nefritický syndróm: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N016;Rýchlo progredujúci nefritický syndróm: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N017;Rýchlo progredujúci nefritický syndróm: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N018;Rýchlo progredujúci nefritický syndróm: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N019;Rýchlo progredujúci nefritický syndróm: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N020;Recidivujúca a pretrvávajúca hematúria: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N021;Recidivujúca a pretrvávajúca hematúria: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N022;Recidivujúca a pretrvávajúca hematúria: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N023;Recidivujúca a pretrvávajúca hematúria: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N024;Recidivujúca a pretrvávajúca hematúria: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N025;Recidivujúca a pretrvávajúca hematúria: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N026;Recidivujúca a pretrvávajúca hematúria: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N027;Recidivujúca a pretrvávajúca hematúria: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N028;Recidivujúca a pretrvávajúca hematúria: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N029;Recidivujúca a pretrvávajúca hematúria: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N030;Chronický nefritický syndróm: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N031;Chronický nefritický syndróm: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N032;Chronický nefritický syndróm: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N033;Chronický nefritický syndróm: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N034;Chronický nefritický syndróm: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N035;Chronický nefritický syndróm: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N036;Chronický nefritický syndróm: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N037;Chronický nefritický syndróm: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N038;Chronický nefritický syndróm: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N039;Chronický nefritický syndróm: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N040;Nefrotický syndróm: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N041;Nefrotický syndróm: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N042;Nefrotický syndróm: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N043;Nefrotický syndróm: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N044;Nefrotický syndróm: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N045;Nefrotický syndróm: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N046;Nefrotický syndróm: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N047;Nefrotický syndróm: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N048;Nefrotický syndróm: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N049;Nefrotický syndróm: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N050;Nefritický syndróm, bližšie neurčený: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N051;Nefritický syndróm, bližšie neurčený: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N052;Nefritický syndróm, bližšie neurčený: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N053;Nefritický syndróm, bližšie neurčený: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N054;Nefritický syndróm, bližšie neurčený: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N055;Nefritický syndróm, bližšie neurčený: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N056;Nefritický syndróm, bližšie neurčený: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N057;Nefritický syndróm, bližšie neurčený: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N058;Nefritický syndróm, bližšie neurčený: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N059;Nefritický syndróm, bližšie neurčený: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N060;Izolovaná proteinúria s morfologickými zmenami: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N061;Izolovaná proteinúria s morfologickými zmenami: fokálne a segmentové lézie glomerulov
Vybrané nefrologické ochorenia;hlavná;N062;Izolovaná proteinúria s morfologickými zmenami: difúzna membránová glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N063;Izolovaná proteinúria s morfologickými zmenami: difúzna mezangioproliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N064;Izolovaná proteinúria s morfologickými zmenami: difúzna endokapilárna proliferatívna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N065;Izolovaná proteinúria s bližšie určenými morfologickými zmenami: difúzna mezangiokapilárna glomerulonefritída
Vybrané nefrologické ochorenia;hlavná;N066;Izolovaná proteinúria s morfologickými zmenami: choroba denzných depozitov
Vybrané nefrologické ochorenia;hlavná;N067;Izolovaná proteinúria s morfologickými zmenami: difúzna glomerulonefritída s výrastkami (polmesiačikmi)
Vybrané nefrologické ochorenia;hlavná;N068;Izolovaná proteinúria s morfologickými zmenami: iné morfologické zmeny
Vybrané nefrologické ochorenia;hlavná;N069;Izolovaná proteinúria s morfologickými zmenami: morfologická zmena bližšie neurčená
Vybrané nefrologické ochorenia;hlavná;N070;Hereditárna nefropatia, nezatriedená inde: malé abnormality glomerulov
Vybrané nefrologické ochorenia;hlavná;N071;Hereditárna nefropatia, nezatriedená inde: fokálne a segmentové lézie glomerulov
