kodHDg;nazovHDg;kodMS;nazovMS
M8719;Osteonekróza zapríčinená liekmi:, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8720;Osteonekróza zapríčinená predchádzajúcim úrazom, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8721;Osteonekróza zapríčinená predchádzajúcim úrazom, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8722;Osteonekróza zapríčinená predchádzajúcim úrazom, nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8723;Osteonekróza zapríčinená predchádzajúcim úrazom, predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8724;Osteonekróza zapríčinená predchádzajúcim úrazom, ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8725;Osteonekróza zapríčinená predchádzajúcim úrazom, panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8726;Osteonekróza zapríčinená predchádzajúcim úrazom, predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8727;Osteonekróza zapríčinená predchádzajúcim úrazom, členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8728;Osteonekróza zapríčinená predchádzajúcim úrazom, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8729;Osteonekróza zapríčinená predchádzajúcim úrazom, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8730;Iná sekundárna osteonekróza na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8731;Iná sekundárna osteonekróza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8732;Iná sekundárna osteonekróza nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8733;Iná sekundárna osteonekróza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8734;Iná sekundárna osteonekróza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8735;Iná sekundárna osteonekróza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8736;Iná sekundárna osteonekróza predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8737;Iná sekundárna osteonekróza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8738;Iná sekundárna osteonekróza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8739;Iná sekundárna osteonekróza, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8780;Iná osteonekróza na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8781;Iná osteonekróza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8782;Iná osteonekróza nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8783;Iná osteonekróza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8784;Iná osteonekróza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8785;Iná osteonekróza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8786;Iná osteonekróza predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8787;Iná osteonekróza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8788;Iná osteonekróza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8789;Iná osteonekróza, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8790;Osteonekróza, bližšie neurčená, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8791;Osteonekróza, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8792;Osteonekróza, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8793;Osteonekróza, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8794;Osteonekróza, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8795;Osteonekróza, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8796;Osteonekróza, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8797;Osteonekróza, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8798;Osteonekróza, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8799;Osteonekróza, bližšie neurčená:, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M880;Deformujúca osteodystrofia [Pagetova choroba] lebky;S69-05;Ochorenia kostí a určité artropatie
M8880;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8881;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8882;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8883;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8884;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8885;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8886;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8887;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8888;Deformujúca osteodystrofia [Pagetova choroba] iných kostí, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8889;Deformujúca osteodystrofia [Pagetova choroba] iných kostí:, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8890;Deformujúca osteodystrofia, bližšie neurčená, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8891;Deformujúca osteodystrofia, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8892;Deformujúca osteodystrofia, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8893;Deformujúca osteodystrofia, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8894;Deformujúca osteodystrofia, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8895;Deformujúca osteodystrofia, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8896;Deformujúca osteodystrofia, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8897;Deformujúca osteodystrofia, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8898;Deformujúca osteodystrofia, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8899;Deformujúca osteodystrofia, bližšie neurčená, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8900;Algoneurodystrofia na viacerých miestach;S73-37;Ochorenia mozgových a periférnych nervov
M8901;Algoneurodystrofia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S73-37;Ochorenia mozgových a periférnych nervov
M8902;Algoneurodystrofia nadlaktia (ramenná kosť, lakťový kĺb);S73-37;Ochorenia mozgových a periférnych nervov
M8903;Algoneurodystrofia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S73-37;Ochorenia mozgových a periférnych nervov
M8904;Algoneurodystrofia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S73-37;Ochorenia mozgových a periférnych nervov
M8905;Algoneurodystrofia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S73-37;Ochorenia mozgových a periférnych nervov
M8906;Algoneurodystrofia predkolenia (ihlica, píšťala, kolenný kĺb);S73-37;Ochorenia mozgových a periférnych nervov
M8907;Algoneurodystrofia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S73-37;Ochorenia mozgových a periférnych nervov
M8908;Algoneurodystrofia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S73-37;Ochorenia mozgových a periférnych nervov
M8909;Algoneurodystrofia, miesto bližšie neurčené;S73-37;Ochorenia mozgových a periférnych nervov
M8910;Zastavenie rastu v epifýze, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8940;Iná hypertrofická osteoartropatia na viacerých miestach;S69-02;Závažné ochorenia kostí a určité artropatie
M8941;Iná hypertrofická osteoartropatia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-02;Závažné ochorenia kostí a určité artropatie
M8942;Iná hypertrofická osteoartropatia nadlaktia (ramenná kosť, lakťový kĺb);S69-02;Závažné ochorenia kostí a určité artropatie
M8943;Iná hypertrofická osteoartropatia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-02;Závažné ochorenia kostí a určité artropatie
M8944;Iná hypertrofická osteoartropatia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-02;Závažné ochorenia kostí a určité artropatie
M8945;Iná hypertrofická osteoartropatia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-02;Závažné ochorenia kostí a určité artropatie
M8946;Iná hypertrofická osteoartropatia predkolenia (ihlica, píšťala, kolenný kĺb);S69-02;Závažné ochorenia kostí a určité artropatie
M8947;Iná hypertrofická osteoartropatia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-02;Závažné ochorenia kostí a určité artropatie
M8948;Iná hypertrofická osteoartropatia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-02;Závažné ochorenia kostí a určité artropatie
M8949;Iná hypertrofická osteoartropatia, miesto bližšie neurčené;S69-02;Závažné ochorenia kostí a určité artropatie
M8950;Osteolýza na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8951;Osteolýza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8952;Osteolýza nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8953;Osteolýza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8954;Osteolýza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8955;Osteolýza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8956;Osteolýza predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8957;Osteolýza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8958;Osteolýza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8959;Osteolýza, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8960;Osteopatia po poliomyelitíde na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8961;Osteopatia po poliomyelitíde v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8962;Osteopatia po poliomyelitíde v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8963;Osteopatia po poliomyelitíde v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8964;Osteopatia po poliomyelitíde v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8965;Osteopatia po poliomyelitíde v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8966;Osteopatia po poliomyelitíde v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8967;Osteopatia po poliomyelitíde v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8968;Osteopatia po poliomyelitíde na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8969;Osteopatia po poliomyelitíde, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8980;Iná choroba kosti, bližšie určená, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8981;Iná choroba kosti, bližšie určená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8982;Iná choroba kosti, bližšie určená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8983;Iná choroba kosti, bližšie určená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8984;Iná choroba kosti, bližšie určená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8985;Iná choroba kosti, bližšie určená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8986;Iná choroba kosti, bližšie určená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8987;Iná choroba kosti, bližšie určená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8988;Iná choroba kosti, bližšie určená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8989;Iná choroba kosti, bližšie určená, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M8990;Choroba kosti, bližšie neurčená, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M8991;Choroba kosti, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8992;Choroba kosti, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M8993;Choroba kosti, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8994;Choroba kosti, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M8995;Choroba kosti, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M8996;Choroba kosti, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M8997;Choroba kosti, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M8998;Choroba kosti, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M8999;Choroba kosti, bližšie neurčená, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M910;Juvenilná osteochondróza panvy;S69-05;Ochorenia kostí a určité artropatie
M911;Juvenilná osteochondróza hlavice stehnovej kosti [Leggova-Calvéova-Perthesova choroba];S69-05;Ochorenia kostí a určité artropatie
M912;Coxa plana;S69-05;Ochorenia kostí a určité artropatie
M913;Pseudokoxalgia;S69-05;Ochorenia kostí a určité artropatie
M918;Iná juvenilná osteochondróza bedra a panvy;S69-05;Ochorenia kostí a určité artropatie
M919;Juvenilná osteochondróza bedra a panvy, bližšie neurčená;S69-05;Ochorenia kostí a určité artropatie
M920;Juvenilná osteochondróza ramennej kosti;S69-05;Ochorenia kostí a určité artropatie
M921;Juvenilná osteochondróza vretennej a lakťovej kosti;S69-05;Ochorenia kostí a určité artropatie
M922;Juvenilná osteochondróza ruky;S69-05;Ochorenia kostí a určité artropatie
M923;Iná juvenilná osteochondróza hornej končatiny;S69-05;Ochorenia kostí a určité artropatie
M924;Juvenilná osteochondróza pately;S69-05;Ochorenia kostí a určité artropatie
M925;Juvenilná osteochondróza píštaly a ihlice;S69-05;Ochorenia kostí a určité artropatie
M926;Juvenilná osteochondróza priehlavku;S69-05;Ochorenia kostí a určité artropatie
M927;Juvenilná osteochondróza predpriehlavku (metatarzu);S69-05;Ochorenia kostí a určité artropatie
M928;Iná juvenilná osteochondróza, bližšie určená;S69-05;Ochorenia kostí a určité artropatie
M929;Juvenilná osteochondróza, bližšie neurčená;S69-05;Ochorenia kostí a určité artropatie
M930;Epiphyseolysis capitis femoris (neúrazová);S69-05;Ochorenia kostí a určité artropatie
M931;Kienböckova choroba dospelých;S69-05;Ochorenia kostí a určité artropatie
M932;Osteochondritis dissecans;S69-05;Ochorenia kostí a určité artropatie
M938;Iná osteochondropatia, bližšie určená;S69-05;Ochorenia kostí a určité artropatie
M939;Osteochondropatia, bližšie neurčená;S69-05;Ochorenia kostí a určité artropatie
M940;Syndróm chondrokostálneho spojenia [Tietzeho];S63-14;Ťažkosti, symptómy a iné anomálie II
M941;Recidivujúca polychondritída;S69-05;Ochorenia kostí a určité artropatie
M9420;Chondromalácia na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M9421;Chondromalácia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9422;Chondromalácia nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M9423;Chondromalácia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9424;Chondromalácia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M9425;Chondromalácia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9426;Chondromalácia predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9427;Chondromalácia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M9428;Chondromalácia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M9429;Chondromalácia, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M9430;Chondrolýza na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M9431;Chondrolýza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9432;Chondrolýza nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M9433;Chondrolýza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9434;Chondrolýza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M9435;Chondrolýza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9436;Chondrolýza predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9437;Chondrolýza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M9438;Chondrolýza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M9439;Chondrolýza, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M9480;Iné choroby chrupky, bližšie určené, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M9481;Iné choroby chrupky, bližšie určené, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9482;Iné choroby chrupky, bližšie určené, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M9483;Iné choroby chrupky, bližšie určené, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9484;Iné choroby chrupky, bližšie určené, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M9485;Iné choroby chrupky, bližšie určené, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9486;Iné choroby chrupky, bližšie určené, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9487;Iné choroby chrupky, bližšie určené, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M9488;Iné choroby chrupky, bližšie určené, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M9489;Iné choroby chrupky, bližšie určené, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M9490;Choroba chrupky, bližšie neurčená, na viacerých miestach;S69-05;Ochorenia kostí a určité artropatie
M9491;Choroba chrupky, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9492;Choroba chrupky, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb);S69-05;Ochorenia kostí a určité artropatie
M9493;Choroba chrupky, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9494;Choroba chrupky, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami);S69-05;Ochorenia kostí a určité artropatie
M9495;Choroba chrupky, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb);S69-05;Ochorenia kostí a určité artropatie
M9496;Choroba chrupky, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb);S69-05;Ochorenia kostí a určité artropatie
M9497;Choroba chrupky, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy);S69-05;Ochorenia kostí a určité artropatie
M9498;Choroba chrupky, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica);S69-05;Ochorenia kostí a určité artropatie
M9499;Choroba chrupky, bližšie neurčená, miesto bližšie neurčené;S69-05;Ochorenia kostí a určité artropatie
M950;Získaná deformita nosa;S53-30;Iné ochorenia ucha, nosa, úst a krku
M951;Karfiolovité ucho;S53-30;Iné ochorenia ucha, nosa, úst a krku
M958;Iná získaná deformita svalovej a kostrovej sústavy, bližšie určená;S69-05;Ochorenia kostí a určité artropatie
M959;Získaná deformita svalovej a kostrovej sústavy, bližšie neurčená;S69-05;Ochorenia kostí a určité artropatie
M961;Postlaminektomický syndróm, nezatriedený inde;S73-27;Deformujúca dorzopatia a iné komplexné spondylopatie
M962;Kyfóza po ožiarení;S73-27;Deformujúca dorzopatia a iné komplexné spondylopatie
M963;Kyfóza po laminektómii;S73-27;Deformujúca dorzopatia a iné komplexné spondylopatie
M964;Pooperačná lordóza;S73-27;Deformujúca dorzopatia a iné komplexné spondylopatie
M965;Skolióza po ožiarení;S73-27;Deformujúca dorzopatia a iné komplexné spondylopatie
N000;Akútny nefritický syndróm: malé abnormality glomerulov;S68-17;Ochorenia glomerulov III
N001;Akútny nefritický syndróm: fokálne a segmentové lézie glomerulov;S68-17;Ochorenia glomerulov III
N002;Akútny nefritický syndróm: difúzna membránová glomerulonefritída;S68-07;Ochorenia glomerulov IV
N003;Akútny nefritický syndróm: difúzna mezangioproliferatívna glomerulonefritída;S68-07;Ochorenia glomerulov IV
N004;Akútny nefritický syndróm: difúzna endokapilárna proliferatívna glomerulonefritída;S68-17;Ochorenia glomerulov III
N005;Akútny nefritický syndróm: difúzna mezangiokapilárna glomerulonefritída;S68-17;Ochorenia glomerulov III
