skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Intoxikácie - pracovné lekárstvo;y167;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Poľnohospodárske
Intoxikácie - pracovné lekárstvo;y168;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Iné špecifikované miesta
Intoxikácie - pracovné lekárstvo;y169;Otrava a priotrávenie organickými rozpúšťadlami, halogenovanými uhľovodíkmi a ich výparmi - MU: Nešpecifikované miesto
Intoxikácie - pracovné lekárstvo;y17-;Otrava inými plynmi a výparmi a vystavenie týmto látkam, s neurčeným úmyslom
Intoxikácie - pracovné lekárstvo;y18-;Otrava pesticídmi a vystavenie týmto látkam, s neurčeným úmyslom
Intoxikácie - pracovné lekárstvo;y19-;Otrava inými a bližšie neurčenými chemikáliami a škodlivými látkami a vystavenie týmto látkam, s neurčeným úmyslom
Iná cievna choroba mozgu;i672;Mozgová ateroskleróza
Iná cievna choroba mozgu;i675;Syndróm moyamoya
Iná cievna choroba mozgu;i676;Nehnisová trombóza intrakraniálneho žilového systému
Iná cievna choroba mozgu;i677;Mozgová arteritída, nezatriedená inde
Iná cievna choroba mozgu;i6788;Iná cievna choroba mozgu, bližšie určená
Iná cievna choroba mozgu;i679;Cievna choroba mozgu, bližšie neurčená
Iná cievna choroba mozgu;i68-;Cievna choroba mozgu pri chorobách zatriedených inde
Iná cievna choroba mozgu;i720;Aneuryzma a disekcia krčnej tepny
Iná cievna choroba mozgu;i725;Aneuryzma a disekcia iných prívodných mozgových tepien
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f03;Demencia, bližšie neurčená
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f04;Organický amnestický syndróm nezapríčinený alkoholom alebo inými psychoaktívnymi látkami
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f068;Iná psychická porucha zapríčinená poškodením a dysfunkciou mozgu a somatickou chorobou, bližšie určená
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f069;Psychická porucha zapríčinená poškodením a dysfunkciou mozgu a somatickou chorobou, bližšie neurčená
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f070;Porucha osobnosti na organickom podklade
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;f071;Postencefalitický syndróm
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g940;Hydrocefalus pri infekčných a parazitových chorobách zatriedených inde (A00-B99†)
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g941;Hydrocefalus pri nádorovej chorobe (C00-D48†)
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g942;Hydrocefalus pri iných chorobách zatriedených inde
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g969;Choroba centrálnej nervovej sústavy, bližšie neurčená
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g990;Autonómna neuropatia pri endokrinných a metabolických chorobách
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g991;Iná choroba autonómnej nervovej sústavy pri iných chorobách zatriedených inde
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy I.;g992;Myelopatia pri chorobách zatriedených inde
Iné chronické poruchy mozgovej funkcie a demencia - vybrané diagnózy II.;g310;Ohraničená atrofia mozgu
Iné ochorenia NS - vybrané diagnózy I.;d1802;Hemangióm intrakraniálny
Iné ochorenia NS - vybrané diagnózy I.;f95-;Tiková porucha
Iné ochorenia NS - vybrané diagnózy I.;g08;Intrakraniálna a intraspinálna flebitída a tromboflebitída
Iné ochorenia NS - vybrané diagnózy I.;g901;Familiárna dysautonómia [Rileyho-Dayov syndróm]
Iné ochorenia NS - vybrané diagnózy I.;g930;Mozgová cysta
Iné ochorenia NS - vybrané diagnózy I.;g951;Cievna myelopatia
Iné ochorenia NS - vybrané diagnózy I.;g952;Kompresia miechy, bližšie neurčená
Iné ochorenia NS - vybrané diagnózy I.;g959;Choroba miechy, bližšie neurčená
Iné ochorenia NS - vybrané diagnózy I.;g960;Presakovanie mozgovomiechového moku
Iné ochorenia NS - vybrané diagnózy I.;g961;Choroba mozgových a miechových plien, nezatriedená inde
Iné ochorenia NS - vybrané diagnózy I.;g968;Iná choroba centrálnej nervovej sústavy, bližšie určená
Iné ochorenia NS - vybrané diagnózy I.;g970;Presakovanie mozgovomiechového moku po spinálnej punkcii
Iné ochorenia NS - vybrané diagnózy I.;g972;Vnútrolebková hypotenzia po komorovom skrate
Iné ochorenia NS - vybrané diagnózy I.;g9780;Pooperačná likvorea
Iné ochorenia NS - vybrané diagnózy I.;g9781;Pooperačný (cerebelárny) mutizmus
Iné ochorenia NS - vybrané diagnózy I.;h474;Choroba chiasma opticum
Iné ochorenia NS - vybrané diagnózy I.;h475;Choroba iných častí zrakových dráh
Iné ochorenia NS - vybrané diagnózy I.;h476;Choroba kôrového zrakového centra
Iné ochorenia NS - vybrané diagnózy I.;h48-;Choroba zrakového nervu [n.opticus] a zrakových dráh pri chorobách zatriedených inde
Iné ochorenia NS - vybrané diagnózy I.;h512;Internukleárna oftalmoplégia
Iné ochorenia NS - vybrané diagnózy II.;g474;Narkolepsia a kataplexia
Iné ochorenia NS - vybrané diagnózy II.;g601;Refsumova choroba
Iné ochorenia NS - vybrané diagnózy II.;t850;Mechanická komplikácia zapríčinená vnútrolebkovou komorovou skratkou (šantom)
Iné ochorenia NS - vybrané diagnózy II.;t851;Mechanická komplikácia zapríčinená implantovaným elektronickým stimulátorom nervovej sústavy
Kardiovaskulárne ochorenia;i-;všetky diagnózy s kódom začínajúcim na „I“
Komplexné endokrinopatie;e200;Idiopatická hypoparatyreóza
Komplexné endokrinopatie;e208;Iná hypoparatyreóza
Komplexné endokrinopatie;e209;Hypoparatyreóza, bližšie neurčená
Komplexné endokrinopatie;e21-;Hyperparatyreóza a iné choroby prištítnych žliaz
Komplexné endokrinopatie;e232;Diabetes insipidus
Komplexné endokrinopatie;e272;Addisonova kríza
Komplexné endokrinopatie;e275;Hyperfunkcia drene nadobličiek
Komplexné endokrinopatie;e278;Iná choroba nadobličiek, bližšie určená
Komplexné endokrinopatie;e279;Choroba nadobličiek, bližšie neurčená
Komplexné endokrinopatie;e290;Hyperfunkcia semenníkov
Komplexné endokrinopatie;e291;Hypofunkcia semenníkov
Komplexné endokrinopatie;e298;Iná porucha funkcie semenníkov
Komplexné endokrinopatie;e890;Hypotyreóza po lekárskom výkone
Komplexné endokrinopatie;e891;Hypoinzulinémia po lekárskom výkone
Komplexné endokrinopatie;e892;Hypoparatyreóza po lekárskom výkone
Komplexné endokrinopatie;e893;Hypopituitarizmus po lekárskom výkone
Komplexné endokrinopatie;e895;Hypofunkcia semenníkov po lekárskom výkone
Komplexné endokrinopatie;e896;Hypofunkcia kôry nadobličiek alebo drene nadobličiek po lekárskom výkone
Komplexné endokrinopatie;e898;Iná endokrinná a metabolická porucha po lekárskom výkone
Komplexné endokrinopatie;e899;Endokrinná a metabolická porucha po lekárskom výkone, bližšie neurčená
Komplexné endokrinopatie;e90;Nutričná a metabolická porucha pri chorobách zatriedených inde
Komplexné ochorenia GIT;e740;Choroba z nahromadenia glykogénu (glykogenóza)
Komplexné ochorenia GIT;i81;Trombóza v. portae
Komplexné ochorenia GIT;i850;Varixy pažeráka s krvácaním
Komplexné ochorenia GIT;k225;Získaný divertikul pažeráka
Komplexné ochorenia GIT;k311;Hypertrofická pylorostenóza dospelých
Komplexné ochorenia GIT;k701;Alkoholová hepatitída
Komplexné ochorenia GIT;k703;Alkoholová cirhóza pečene
Komplexné ochorenia GIT;k704;Alkoholové zlyhávanie pečene
Komplexné ochorenia GIT;k710;Toxická choroba pečene s cholestázou
Komplexné ochorenia GIT;k711;Toxická choroba pečene s pečeňovou nekrózou
Komplexné ochorenia GIT;k717;Toxická choroba pečene s fibrózou a cirhózou pečene
Komplexné ochorenia GIT;k721;Chronické pečeňové zlyhávanie
Komplexné ochorenia GIT;k767;Hepatorenálny syndróm
Komplexné ochorenia pažeráka;k220;Achalázia kardie
Komplexné ochorenie pečene;k729;Pečeňové zlyhávanie, bližšie neurčené
Komplexné ochorenie pečene;k744;Sekundárna biliárna cirhóza
Komplexné ochorenie pečene;k745;Biliárna cirhóza, bližšie neurčená
Komplexné ochorenie pečene;k754;Autoimunitná hepatitída
Komplexné ochorenie pečene;k762;Centrálna hemoragická nekróza pečene
Metabolické ochorenia v neurológii;e750;GM2-gangliozidóza
Metabolické ochorenia v neurológii;e751;Iná gangliozidóza
Metabolické ochorenia v neurológii;e752;Iná sfingolipidóza
Metabolické ochorenia v neurológii;e754;Neurónová ceroidová lipofuscinóza
Morbus Madelung;e888;Iná bližšie určená metabolická porucha
Nezhubné nádory GIT;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Nezhubné nádory GIT;d130;Nezhubný nádor pažeráka
Nezhubné nádory GIT;d131;Nezhubný nádor žalúdka
Nezhubné nádory GIT;d132;Nezhubný nádor dvanástnika
Nezhubné nádory GIT;d133;Nezhubný nádor iných a bližšie neurčených častí tenkého čreva
Nádorové ochorenia pracovné lekárstvo;c223;Angiosarkóm pečene
Nádorové ochorenia pracovné lekárstvo;c224;Iný sarkóm pečene
Nádorové ochorenia pracovné lekárstvo;c227;Iný karcinóm pečene, bližšie určený
Nádorové ochorenia pracovné lekárstvo;c300;Zhubný nádor nosovej dutiny
Nádorové ochorenia pracovné lekárstvo;c310;Zhubný nádor čeľustnej dutiny
Nádorové ochorenia pracovné lekárstvo;c311;Zhubný nádor čuchovej dutiny
Nádorové ochorenia pracovné lekárstvo;c312;Zhubný nádor čelovej dutiny
Nádorové ochorenia pracovné lekárstvo;c328;Zhubný nádor hrtana presahujúci viaceré oblasti
Nádorové ochorenia pracovné lekárstvo;c45-;Mezotelióm
Nádorové ochorenia pracovné lekárstvo;c670;Zhubný nádor trigonum močového mechúra
Nádorové ochorenia pracovné lekárstvo;c671;Zhubný nádor klenby močového mechúra
Nádorové ochorenia pracovné lekárstvo;c672;Zhubný nádor bočnej steny močového mechúra
Nádorové ochorenia pracovné lekárstvo;c673;Zhubný nádor prednej steny močového mechúra
Nádorové ochorenia pracovné lekárstvo;c674;Zhubný nádor zadnej steny močového mechúra
Nádorové ochorenia pracovné lekárstvo;c675;Zhubný nádor krčka močového mechúra
Nádorové ochorenia pracovné lekárstvo;c676;Zhubný nádor ústia močovodu
Nádorové ochorenia pracovné lekárstvo;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Nádorové ochorenia pracovné lekárstvo;c679;Zhubný nádor močového mechúra, bližšie neurčený
Nádorové ochorenia pracovné lekárstvo;c921-;Chronická myeloická leukémia (CML), BCR/ABL-pozitívna
Nádorové ochorenia pracovné lekárstvo;d03-;Melanóm in situ
Nádorové ochorenia pracovné lekárstvo;d144;Nezhubný nádor dýchacej sústavy, bližšie neurčený
Nádorové ochorenia pracovné lekárstvo;d596;Hemoglobinúria zapríčinená hemolýzou z iných vonkajších príčin
Nádorové ochorenia pracovné lekárstvo;d598;Iná získaná hemolytická anémia
Nádorové ochorenia pracovné lekárstvo;d612;Aplastická anémia z iných vonkajších príčin
Nádorové ochorenia pracovné lekárstvo;d748;Iná methemoglobinémia
Nádorové ochorenia pracovné lekárstvo;d749;Methemoglobinémia, bližšie neurčená
Nádorové ochorenia pracovné lekárstvo;d77;Iné poruchy krvi a krvotvorných orgánov pri  chorobách zatriedených inde
Náhla cievna mozgová príhoda;i60-;Subarachnoidálne krvácanie
Náhla cievna mozgová príhoda;i61-;Vnútromozgové krvácanie
Náhla cievna mozgová príhoda;i62-;Iné neúrazové intrakraniálne krvácanie
Náhla cievna mozgová príhoda;i63-;Mozgový infarkt
Náhla cievna mozgová príhoda;i64;Cievna mozgová príhoda bližšie neurčená ako krvácanie alebo infarkt
Náhla cievna mozgová príhoda;i660;Uzáver a zúženie a.cerebri media
Náhla cievna mozgová príhoda;i661;Uzáver a zúženie a.cerebri anterior
Náhla cievna mozgová príhoda;i662;Uzáver a zúženie a.cerebri posterior
Náhla cievna mozgová príhoda;i664;Uzáver a zúženie viacerých mozgových tepien, obojstranne
Náhla cievna mozgová príhoda;i668;Uzáver a zúženie inej mozgovej tepny
Náhla cievna mozgová príhoda;i669;Uzáver a zúženie bližšie neurčenej mozgovej tepny
Náhla cievna mozgová príhoda;i670;Disekcia mozgovej tepny
Náhla cievna mozgová príhoda;i671-;Mozgová aneuryzma a mozgová artériovenózna fistula bez ruptúry
Náhla cievna mozgová príhoda;i6780;Vazospazmy pri subarachnoidálnom krvácaní
Ochorenia GIT;k20;Ezofagitída
Ochorenia GIT;k228;Iná choroba pažeráka, bližšie určená
Ochorenia GIT;k3181;Angiodysplázia žalúdka a dvanástnika bez prejavov krvácania
Ochorenia GIT;k5581;Angiodysplázia tenkého čreva, bez prejavov krvácania
Ochorenia GIT;k590;Zápcha
Ochorenia GIT;k621;Polyp konečníka
Ochorenia kože a podkožia - pracovné lekárstvo;l23-;Alergická kontaktná dermatitída
Ochorenia kože a podkožia - pracovné lekárstvo;l24-;Iritačná kontaktná dermatitída
Ochorenia kože a podkožia - pracovné lekárstvo;l25-;Kontaktná dermatitída, bližšie neurčená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g511;Ganglionitis geniculata
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g512;Melkerssonov-Rosenthalov syndróm
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g513;Klonický spazmus polovice tváre
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g514;Tvárová myokýmia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g518;Iná porucha tvárového nervu
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g520;Porucha čuchového nervu [n. olfactorius]
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g521;Porucha jazykovohltanového nervu [n. glossopharyngeus]
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g522;Porucha blúdivého nervu [n. vagus]
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g523;Porucha podjazykového nervu [n. hypoglossus]
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g527;Porucha viacerých hlavových nervov
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g53-;Poruchy hlavových nervov pri chorobách zatriedených inde
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g561;Iné poškodenie n. medianus
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g562;Poškodenie n. ulnaris
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g563;Poškodenie n. radialis
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g564;Kauzalgia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g568;Iná mononeuropatia hornej končatiny
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g569;Mononeuropatia hornej končatiny, bližšie neurčená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g57-;Mononeuropatia dolnej končatiny
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g588;Iná bližšie určená mononeuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g589;Mononeuropatia, bližšie neurčená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g59-;Mononeuropatia pri chorobách zatriedených inde
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g61-;Zápalová polyneuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g62-;Iná polyneuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g63-;Polyneuropatia pri chorobách zatriedených inde
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g64;Iná porucha periférnej nervovej sústavy
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g701;Toxická nervovosvalová choroba
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g9008;Iná idiopatická periférna autonómna neuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g9009;Idiopatická periférna autonómna neuropatia, bližšie neurčená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g904-;Autonómna dysreflexia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy I.;g908;Iná choroba autonómnej nervovej sústavy
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g587;Mononeuritis multiplex
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g600;Dedičná senzomotorická neuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g602;Neuropatia spojená s dedičnou ataxiou
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g603;Idiopatická progresívna neuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g608;Iná dedičná a idiopatická neuropatia
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g609;Dedičná a idiopatická neuropatia, bližšie neurčená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g708;Iná myoneurálna porucha, bližšie určená
Ochorenia mozgových a periférnych nervov - vybrané diagnózy II.;g709;Myoneurálna porucha, bližšie neurčená
Ochorenia spojivového tkaniva;i00;Reumatická horúčka bez postihnutia srdca
Ochorenia spojivového tkaniva;i776;Arteritída, bližšie neurčená
Ochorenia spojivového tkaniva;l405;Artropatická psoriáza (M07.0-M07.3*, M09.0-*)
Ochorenia spojivového tkaniva;l871;Reaktívna perforujúca kolagenóza
Ochorenia spojivového tkaniva;m023-;Reiterova choroba
Ochorenia spojivového tkaniva;m050-;Feltyho syndróm
Ochorenia spojivového tkaniva;m052-;Reumatoidná artritída s vaskulitídou
Ochorenia spojivového tkaniva;m053-;Reumatoidná artritída s postihnutím iných orgánov a sústav
Ochorenia spojivového tkaniva;m061-;Stillova choroba dospelých
Ochorenia spojivového tkaniva;m063-;Reumatoidné uzlíky
Ochorenia spojivového tkaniva;m08-;Juvenilná artritída
Ochorenia spojivového tkaniva;m30-;Polyarteriitis nodosa a príbuzné choroby
Ochorenia spojivového tkaniva;m310;Hypersenzitívna vaskulitída
Ochorenia spojivového tkaniva;m313;Wegenerova granulomatóza
Ochorenia spojivového tkaniva;m314;Syndróm aortálneho oblúka [Takayasu syndrom]
Ochorenia spojivového tkaniva;m315;Obrovskobunková arteriitída s polymyalgia rheumatica
Ochorenia spojivového tkaniva;m316;Iná obrovskobunková arteriitída
Ochorenia spojivového tkaniva;m317;Mikroskopická polyangiitída
Ochorenia spojivového tkaniva;m318;Iná nekrotizujúca vaskulopatia, bližšie určená
Ochorenia spojivového tkaniva;m319;Nekrotizujúca vaskulopatia, bližšie neurčená
Ochorenia spojivového tkaniva;m32-;Systémový lupus erythematosus
Ochorenia spojivového tkaniva;m33-;Dermatopolymyozitída
Ochorenia spojivového tkaniva;m34-;Systémová skleróza
Ochorenia spojivového tkaniva;m350;Sicca syndróm [Sjögren syndrom]
Ochorenia spojivového tkaniva;m351;Iné prekrývajúce sa syndrómy
Ochorenia spojivového tkaniva;m352;Behçetova choroba
Ochorenia spojivového tkaniva;m353;Polymyalgia rheumatica
Ochorenia spojivového tkaniva;m354;Difúzna (eozinofilná) fasciitída
Ochorenia spojivového tkaniva;m355;Multifokálna fibroskleróza
Ochorenia spojivového tkaniva;m358;Iné systémové postihnutie spojiva, bližšie určené
Ochorenia spojivového tkaniva;m359;Systémové postihnutie spojiva, bližšie neurčené
Ochorenia spojivového tkaniva;m45-;Ankylozujúca spondylitída [spondylitis ankylosans]
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m18-;Artróza prvého karpometakarpového kĺbu
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m190-;Primárna artróza iných kĺbov
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m500;Poškodenie krčnej medzistavcovej platničky s myelopatiou (G99.2*)
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m501;Poškodenie krčnej medzistavcovej platničky s radikulopatiou
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m509;Poškodenie krčnej medzistavcovej platničky, bližšie neurčené
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m510;Poškodenie driekových a iných medzistavcových platničiek s myelopatiou (G99.2*)
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m511;Poškodenie driekových a iných medzistavcových platničiek s radikulopatiou (G55.1*)
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m512;Iná dislokácia medzistavcovej platničky, bližšie určená
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m513;Iná degenerácia medzistavcovej platničky, bližšie určená
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m518;Iné poškodenie medzistavcovej platničky, bližšie určené
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5410;Radikulopatia na viacerých miestach chrbtice
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5411;Radikulopatia v okcipito-atlanto-axiálnej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5412;Radikulopatia v krčnej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5413;Radikulopatia v krčnohrudníkovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5414;Radikulopatia v hrudníkovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5415;Radikulopatia v hrudníkovodriekovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5416;Radikulopatia v driekovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5417;Radikulopatia v driekovokrížovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m5418;Radikulopatia v krížovej a krížovokostrčovej oblasti
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m548-;Iná bolesť chrbta
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m549-;Bolesť chrbta, bližšie neurčená
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m70-;Choroba mäkkého tkaniva v súvislosti so zaťažovaním, preťažovaním a tlakom
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m750;Adhezívna kapsulitída pleca
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m751;Syndróm manžety rotátorov
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m752;Tendinitída m. biceps brachii
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m753;Vápenatejúca tendinitída pleca
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m754;Syndróm narazeného ramena
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m755;Burzitída pleca
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m770;Mediálna epikondylitída
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m771;Laterálna epikondylitída
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m772;Periartritída zápästia
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m774;Metatarzalgia
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m775;Iná entezopatia nohy
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;m851-;Fluoróza kostry
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x504;Preťaženie a namáhavé alebo opakované pohyby - MU: Ulica a cesta
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x505;Preťaženie a namáhavé alebo opakované pohyby - MU: Obchod a služby
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x506;Preťaženie a namáhavé alebo opakované pohyby - MU: Priemyselné objekty
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x507;Preťaženie a namáhavé alebo opakované pohyby - MU: Poľnohospodárske
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x508;Preťaženie a namáhavé alebo opakované pohyby - MU: Iné špecifikované miesta
Ochorenia svalovej a kostrovej sústavy - pracovné lekárstvo;x509;Preťaženie a namáhavé alebo opakované pohyby - MU: Nešpecifikované miesto
Paralytické syndrómy - vybrané diagnózy I.;g8200;Chabá paraparéza a paraplégia, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8201;Chabá paraparéza a paraplégia, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8210;Spastická paraparéza a paraplégia, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8211;Spastická paraparéza a paraplégia, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8220;Paraparéza a paraplégia, bližšie neurčená, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8221;Paraparéza a paraplégia, bližšie neurčená, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8230;Chabá tetraparéza a tetraplégia, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8231;Chabá tetraparéza a tetraplégia, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8240;Spastická tetraparéza a tetraplégia, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8241;Spastická tetraparéza a tetraplégia, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8250;Tetraparéza a tetraplégia, bližšie neurčená, akútne kompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g8251;Tetraparéza a tetraplégia, bližšie neurčená, akútne nekompletné priečne poškodenie miechy neúrazového pôvodu
Paralytické syndrómy - vybrané diagnózy I.;g834-;Syndróm cauda equina
Paralytické syndrómy - vybrané diagnózy I.;g8380;Locked-in syndróm
Pneumologické ochorenia - pracovné lekárstvo;j300;Vazomotorická rinitída
Pneumologické ochorenia - pracovné lekárstvo;j302;Iná sezónna alergická rinitída
Pneumologické ochorenia - pracovné lekárstvo;j303;Iná alergická rinitída
Pneumologické ochorenia - pracovné lekárstvo;j380-;Obrna hlasiviek a hrtana
Pneumologické ochorenia - pracovné lekárstvo;j381;Polyp hlasivky a hrtana
Pneumologické ochorenia - pracovné lekárstvo;j382;Uzlíky hlasiviek
Pneumologické ochorenia - pracovné lekárstvo;j440-;Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest
Pneumologické ochorenia - pracovné lekárstvo;j441-;Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená
Pneumologické ochorenia - pracovné lekárstvo;j448-;Iná chronická obštrukčná choroba pľúc, bližšie určená
Pneumologické ochorenia - pracovné lekárstvo;j45-;Bronchiálna astma
Pneumologické ochorenia - pracovné lekárstvo;j60;Pneumokonióza baníkov uhoľných baní
Pneumologické ochorenia - pracovné lekárstvo;j61;Pneumokonióza zapríčinená azbestom a inými anorganickými vláknami
Pneumologické ochorenia - pracovné lekárstvo;j62-;Pneumokonióza zapríčinená prachom obsahujúcim kremík
Pneumologické ochorenia - pracovné lekárstvo;j63-;Pneumokonióza zapríčinená inými anorganickými prachmi
Pneumologické ochorenia - pracovné lekárstvo;j64;Pneumokonióza, bližšie neurčená
