kod_vykonu;nazov_vykonu
5t51b;Odstránenie acetabulárnej komponenty bedrového kĺbu
5t51c;Odstránenie antiluxačnej acetabulárnej komponenty bedrového kĺbu
5t51d;Odstránenie snap fit acetabulárnej komponenty bedrového kĺbu
5t51e;Odstránenie totálnej špeciálnej endoprotézy bedrového kĺbu
5t51f2;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu na špeciálnu protézu hlavice femuru
5t51f31;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu na bipolárnu cementovanú cervikokapitálnu protézu
5t51f80;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu na totálnu necementovanú protézu hlavice femuru
5t51f81;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu na totálnu cementovanú protézu hlavice femuru
5t51f82;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu na totálnu hybridnú protézu hlavice femuru
5t51fx;Výmena bipolárnej cervikokapitálnej protézy bedrového kĺbu, ostatné
5t51g2;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na špeciálnu protézu hlavice femuru
5t51g50;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na povrchovú protézu hlavice femuru typu hip resurfacing, necementovanú
5t51g51;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na povrchovú protézu hlavice femuru typu hip resurfacing, cementovanú
5t51g80;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na totálnu necementovanú protézu hlavice femuru
5t51g81;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na totálnu cementovanú protézu hlavice femuru
5t51g82;Výmena povrchovej protézy hlavice femuru typu hip resurfacing na totálnu hybridnú protézu hlavice femuru
5t51gx;Výmena povrchovej protézy hlavice femuru typu hip resurfacing, ostatné
5t51h;Odstránenie povrchovej náhradnej protézy bedrového kĺbu
5t51j2;Výmena metafyzárnej protézy hlavice femuru s krátkym driekom na špeciálnu protézu hlavice femuru
5t51j80;Výmena metafyzárnej protézy hlavice femuru s krátkym driekom na totálnu necementovanú protézu hlavice femuru
5t51j81;Výmena metafyzárnej protézy hlavice femuru s krátkym driekom na totálnu cementovanú protézu hlavice femuru
5t51j82;Výmena metafyzárnej protézy hlavice femuru s krátkym driekom na totálnu hybridnú protézu hlavice femuru
5t51jx;Výmena metafyzárnej protézy hlavice femuru s krátkym driekom, ostatné
5t51k;Odstránenie metafyzárnej protézy hlavice femuru s krátkym driekom
5t51x;Ostatné revízie, výmeny alebo odstránenia endoprotézy bedrového kĺbu
5t5200;Implantácia unikondylárnej protézy kolenného kĺbu, necementovaná
5t5201;Implantácia unikondylárnej protézy kolenného kĺbu, cementovaná
5t5202;Implantácia unikondylárnej protézy kolenného kĺbu, hybridná
5t5210;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] bez patelárnej náhrady, necementovaná
5t5211;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] bez patelárnej náhrady, cementovaná
5t5212;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] bez patelárnej náhrady, hybridná
5t5220;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] s patelárnou náhradou, necementovaná
5t5221;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] s patelárnou náhradou, cementovaná
5t5222;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu bez spojenia [unconstrained] s patelárnou náhradou, hybridná
5t5230;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] bez patelárnej náhrady, necementovaná
5t5231;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] bez patelárnej náhrady, cementovaná
5t5232;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] bez patelárnej náhrady, hybridná
5t5240;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] s patelárnou náhradou, necementovaná
5t5241;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] s patelárnou náhradou, cementovaná
5t5242;Implantácia bikondylárnej povrchovej protézy kolenného kĺbu čiastočne spojenej [semiconstrained] s patelárnou náhradou, hybridná
5t5250;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] bez patelárnej náhrady, necementovaná
5t5251;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] bez patelárnej náhrady, cementovaná
5t5252;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] bez patelárnej náhrady, hybridná
5t5260;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] s patelárnou náhradou, necementovaná
5t5261;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] s patelárnou náhradou, cementovaná
5t5262;Implantácia totálnej endoprotézy kolenného kĺbu spojená [constrained] s patelárnou náhradou, hybridná
5t52710;Implantácia patelárnej náhrady kolenného kĺbu, patelárna komponenta necementovaná 
5t52711;Implantácia patelárnej náhrady kolenného kĺbu, patelárna komponenta cementovaná 
5t52720;Implantácia patelárnej náhrady kolenného kĺbu,  patelofemorálna necementovaná náhrada
5t52721;Implantácia patelárnej náhrady kolenného kĺbu, patelofemorálna cementovaná náhrada
5t52722;Implantácia patelárnej náhrady kolenného kĺbu,  patelofemorálna hybridná náhrada
5t52730;Implantácia patelárnej náhrady kolenného kĺbu, izolovaná náhrada femorálnej plochy, necementovaná
5t52731;Implantácia patelárnej náhrady kolenného kĺbu, izolovaná náhrada femorálnej plochy, cementovaná
5t5280;Implantácia špeciálnej protézy kolenného kĺbu, necementovaná
5t5281;Implantácia špeciálnej protézy kolenného kĺbu, cementovaná
5t5282;Implantácia špeciálnej protézy kolenného kĺbu, hybridná
5t5291;Implantácia protézy kolenného kĺbu so zvýšenou ohybovou schopnosťou bez patelárnej náhrady, cementovaná
5t5292;Implantácia protézy kolenného kĺbu so zvýšenou ohybovou schopnosťou bez patelárnej náhrady, hybridná
5t52a1;Implantácia protézy kolenného kĺbu so zvýšenou ohybovou schopnosťou s patelárnou náhradou, cementovaná
5t52a2;Implantácia protézy kolenného kĺbu so zvýšenou ohybovou schopnosťou s patelárnou náhradou, hybridná
5t52b;Implantácia interpozičného nezakotveného implantátu kolenného kĺbu
5t52c0;Implantácia bikompartmentálnej protézy kolenného kĺbu bez patelárnej náhrady, necementovaná
5t52c1;Implantácia bikompartmentálnej protézy kolenného kĺbu bez patelárnej náhrady, cementovaná
5t52c2;Implantácia bikompartmentálnej protézy kolenného kĺbu bez patelárnej náhrady, hybridná
5t52d0;Implantácia bikompartmentálnej protézy kolenného kĺbu s patelárnou náhradou, necementovaná
5t52d1;Implantácia bikompartmentálnej protézy kolenného kĺbu s patelárnou náhradou, cementovaná
5t52d2;Implantácia bikompartmentálnej protézy kolenného kĺbu s patelárnou náhradou, hybridná
5t52e0;Implantácia endoprotetickej kĺbnej náhrady kolena bez pohybovej funkcie, necementovaná
5t52e1;Implantácia endoprotetickej kĺbnej náhrady kolena bez pohybovej funkcie, cementovaná
5t52e2;Implantácia endoprotetickej kĺbnej náhrady kolena bez pohybovej funkcie, hybridná
5t52x0;Ostatná implantácia endoprotézy kolenného kĺbu, necementovaná
5t52x1;Ostatná implantácia endoprotézy kolenného kĺbu, cementovaná
5t52x2;Ostatná implantácia endoprotézy kolenného kĺbu, hybridná
5t530;Revízia endoprotézy kolenného kĺbu bez výmeny
5t53110;Výmena unikondylárnej protézy kolenného kĺbu na unikondylárnu protézu, necementovanú
5t53111;Výmena unikondylárnej protézy kolenného kĺbu na unikondylárnu protézu, cementovanú
5t53120;Výmena unikondylárnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu bez patelárnej náhrady, necementovanú
5t53121;Výmena unikondylárnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu bez patelárnej náhrady, cementovanú
5t53130;Výmena unikondylárnej protézy kolenného kĺbu na bikondylárnu povrchová protézu s patelárnou náhradou, necementovanú
5t53131;Výmena unikondylárnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu s patelárnou náhradou, cementovanú
5t53150;Výmena unikondylárnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, necementovanú
5t53151;Výmena unikondylárnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, cementovanú
5t53152;Výmena unikondylárnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú hybridnú, čiastočne cementovanú
5t5316;Výmena unikondylárnej protézy kolenného kĺbu inlay
5t531x;Výmena unikondylárnej protézy kolenného kĺbu, ostatné
5t5320;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na bikondylárnu povrchovú protézu rovnakého typu
5t53240;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na bikondylárnu povrchovú protézu iného typu, necementovanú
5t53242;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na bikondylárnu povrchovú protézu iného typu, hybridnú alebo cementovanú
5t53250;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, necementovanú
5t53252;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, hybridnú alebo cementovanú
5t5326;Výmena bikondylárnej povrchovej protézy kolenného kĺbu inlay
5t5327;Výmena bikondylárnej povrchovej protézy kolenného kĺbu, výmena femorálnej komponenty
5t5328;Výmena bikondylárnej povrchovej protézy kolenného kĺbu, výmena tibiálnej komponenty
5t532a0;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na špeciálnu endoprotézu kolena, necementovanú
5t532a1;Výmena bikondylárnej povrchovej protézy kolenného kĺbu na špeciálnu endoprotézu kolena, cementovanú
5t532x;Výmena bikondylárnej povrchovej protézy kolenného kĺbu, ostatné
5t5330;Výmena spojenej totálnej endoprotézy kolenného kĺbu rovnakého typu
5t53350;Výmena spojenej totálnej endoprotézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, necementovanú
5t53352;Výmena spojenej totálnej endoprotézy kolenného kĺbu na totálnu endoprotézu kolena spojenú, hybridnú alebo cementovanú
5t5337;Výmena spojenej totálnej endoprotézy kolenného kĺbu, výmena femorálnej komponenty
5t5338;Výmena spojenej totálnej endoprotézy kolenného kĺbu, výmena tibiálnej komponenty
5t5339;Výmena spojenej totálnej endoprotézy kolenného kĺbu, výmena patelárnej komponenty
5t533a0;Výmena spojenej totálnej endoprotézy kolenného kĺbu na špeciálnu endoprotézu kolenného kĺbu, necementovanú
5t533a1;Výmena spojenej totálnej endoprotézy kolenného kĺbu na špeciálnu endoprotézu kolenného kĺbu, cementovanú
5t533x;Výmena spojenej totálnej endoprotézy kolenného kĺbu, ostatné
5t5340;Výmena špeciálnej protézy kolenného kĺbu rovnakého typu
5t5347;Výmena špeciálnej protézy kolenného kĺbu, výmena femorálnej komponenty
5t5348;Výmena špeciálnej protézy kolenného kĺbu, výmena tibiálnej komponenty
5t5349;Výmena špeciálnej protézy kolenného kĺbu, výmena patelárnej komponenty
5t534x;Výmena špeciálnej protézy kolenného kĺbu, ostatné
5t53510;Výmena patelárnej náhrady na necementovanú patelárnu komponentu
5t53511;Výmena patelárnej náhrady na cementovanú patelárnu komponentu
5t53520;Výmena patelárnej náhrady na patelofemorálnu necementovanú náhradu
5t53521;Výmena patelárnej náhrady na patelofemorálnu cementovanú náhradu
5t53522;Výmena patelárnej náhrady na patelofemorálnu hybridnú náhradu
5t53530;Výmena patelárnej náhrady na necementovanú femorálnu náhradu
5t53531;Výmena patelárnej náhrady na cementovanú femorálnu náhradu
5t53642;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na protézu kolena so zvýšenou ohybovou schopnosťou bez patelárnej náhrady, hybridnú alebo cementovanú
5t53652;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na protézu kolena so zvýšenou ohybovou schopnosťou s patelárnou náhradou, hybridnú alebo cementovanú
5t53660;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na totálnu endoprotézu kolena spojenú bez patelárnej náhrady, necementovanú
5t53661;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na totálnu endoprotézu kolena spojenú bez patelárnej náhrady, hybridnú alebo cementovanú
5t53670;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na totálnu endoprotézu kolena spojenú s patelárnou náhradou, necementovanú
5t53671;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na totálnu endoprotézu kolena spojenú s patelárnou náhradou, hybridnú alebo cementovanú
5t53690;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na špeciálnu endoprotézu kolena, necementovanú
5t53692;Výmena protézy kolena so zvýšenou ohybovou schopnosťou na špeciálnu endoprotézu kolena hybridnú alebo cementovanú
5t536x;Výmena protézy kolena so zvýšenou ohybovou schopnosťou, ostatné
5t537;Výmena interpozičného nezakotveného implantátu kolenného kĺbu
5t53820;Výmena bikompartmentálnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu bez patelárnej náhrady, necementovaná
5t53822;Výmena bikompartmentálnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu bez patelárnej náhrady, hybridnú alebo cementovanú
5t53830;Výmena bikompartmentálnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu s patelárnou náhradou, necementovanú
5t53832;Výmena bikompartmentálnej protézy kolenného kĺbu na bikondylárnu povrchovú protézu s patelárnou náhradou, hybridnú alebo cementovanú
5t53860;Výmena bikompartmentálnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú bez patelárnej náhrady, necementovanú
5t53862;Výmena bikompartmentálnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú bez patelárnej náhrady, hybridnú alebo cementovanú
5t53870;Výmena bikompartmentálnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú s patelárnou náhradou, necementovanú
5t53872;Výmena bikompartmentálnej protézy kolenného kĺbu na totálnu endoprotézu kolena spojenú s patelárnou náhradou, hybridnú alebo cementovanú
5t5388;Výmena bikompartmentálnej protézy kolenného kĺbu, výmena tibiálnej komponenty
5t5389;Výmena bikompartmentálnej protézy kolenného kĺbu, výmena femorálnej komponenty
5t538a;Výmena bikompartmentálnej protézy kolenného kĺbu na bikompartmentálnu protézu bez patelárnej náhrady
5t538b;Výmena bikompartmentálnej protézy kolenného kĺbu na bikompartmentálnu protézu s patelárnou náhradou
5t538c;Výmena bikompartmentálnej protézy kolenného kĺbu, výmena inlay
5t538x;Výmena bikompartmentálnej protézy kolenného kĺbu, ostatné
5t5390;Výmena endoprotetickej kĺbnej náhrady kolenného kĺbu bez pohybovej funkcie, čiastočná výmena bez obnovy funkcie kĺbu
5t5391;Výmena endoprotetickej kĺbnej náhrady kolenného kĺbu bez pohybovej funkcie, čiastočná výmena s obnovou funkcie kĺbu
5t53a;Odstránenie unikondylárnej protézy kolenného kĺbu
5t53b;Odstránenie bikondylárnej povrchovej protézy kolenného kĺbu
5t53c;Odstránenie spojenej totálnej endoprotézy kolena
5t53d;Odstránenie patelárnej náhrady
5t53e;Odstránenie špeciálnej protézy kolenného kĺbu
5t53f;Odstránenie protézy kolena so zvýšenou ohybovou schopnosťou
5t53g;Odstránenie interpozičného nezakotveného implantátu kolenného kĺbu
5t53h;Odstránenie bikompartmentálnej protézy kolenného kĺbu
5t53j;Odstránenie endoprotetickej kĺbnej náhrady kolenného kĺbu bez pohybovej funkcie
5t53x;Revízia, výmena a odstránenie endoprotézy kolenného kĺbu, ostatné
5t5400;Implantácia čiastočnej protézy v oblasti humeru, povrchová protéza hlavice humeru typu resurfacing
5t5401;Implantácia čiastočnej protézy v oblasti humeru, cervikokapitálna protéza hlavy humeru
5t540x;Implantácia čiastočnej protézy v oblasti humeru, ostatné
5t541;Implantácia protézy glenoidu ramenného kĺbu
5t5420;Implantácia totálnej endoprotézy ramenného kĺbu, konvenčná totálna protéza ramena
5t5421;Implantácia totálnej endoprotézy ramenného kĺbu, reverzná totálna protéza ramena
5t543;Implantácia protézy hlavičky rádia
5t544;Implantácia totálnej endoprotézy lakťa, nespojená
5t545;Implantácia totálnej endoprotézy lakťa, spojená
5t546;Implantácia náhrady distálnej humerálnej kĺbnej plochy
5t547;Implantácia protézy hlavičky ulny
5t548;Implantácia endoprotézy zápästia
5t5491;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 1 protéza
5t5492;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 2 protézy
5t5493;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 3 protézy
5t5494;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 4 protézy
5t5495;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 5 protéz
5t5496;Implantácia endoprotézy na kĺboch prstov hornej končatiny, 6 a viac protéz
5t54x;Implantácia endoprotézy na kĺboch hornej končatiny, ostatné
5t5500;Revízia endoprotézy bez výmeny na humeroglenoidálnom kĺbe
5t5504;Revízia endoprotézy bez výmeny na lakťovom kĺbe
5t5507;Revízia endoprotézy bez výmeny na zápästí
5t550u;Revízia endoprotézy bez výmeny na kĺboch palca ruky
5t550v;Revízia endoprotézy bez výmeny na kĺboch prsta ruky
5t551;Výmena endoprotézy hlavice humeru
5t5520;Výmena totálnej endoprotézy ramenného kĺbu na konvenčnú totálnu protézu ramena
5t5521;Výmena totálnej endoprotézy ramenného kĺbu na reverznú totálnu protézu ramena
5t553;Výmena endoprotézy hlavičky rádia
5t554;Výmena totálnej endoportézy lakťa
5t555;Výmena endoprotézy zápästia
5t556;Výmena endoprotézy kĺbu prsta
5t557;Odstránenie endoprotézy hlavice humeru
5t558;Odstránenie totálnej endoprotézy ramenného kĺbu
5t559;Odstránenie endoprotézy hlavičky rádia
5t55a;Odstránenie totálnej endoprotézy lakťa
5t55b;Odstránenie endoprotézy zápästia ruky
5t55c;Odstránenie endoprotézy kĺbu prsta
5t55f;Výmena povrchovej endoprotézy ramena typu resurfacing
5t55g;Odstránenie povrchovej endoprotézy ramena typu resurfacing
5t55h;Výmena endoprotézy glenoidu ramenného kĺbu
5t55j;Odstránenie endoprotézy glenoidu ramenného kĺbu
5t55k1;Čiastočná výmena totálnej endoprotézy ramenného kĺbu, 1 protéza
5t55k2;Čiastočná výmena totálnej endoprotézy ramenného kĺbu, 2 protézy
5t55k3;Čiastočná výmena totálnej endoprotézy ramenného kĺbu, 3 protézy
5t55x;Revízia, výmena a odstránenie endoprotézy na kĺboch hornej končatiny, ostatné
5t5600;Implantácia endoprotézy členkového kĺbu, necementovaná
5t5601;Implantácia endoprotézy členkového kĺbu, cementovaná
5t5602;Implantácia endoprotézy členkového kĺbu, hybridná čiastočne cementovaná
5t561;Implantácia endoprotézy priehlavku
5t562;Implantácia endoprotézy prednožia a prstov nohy
5t56x;Implantácia endoprotézy na kĺboch dolnej končatiny, ostatné
5t570;Revízia endoprotézy bez výmeny na kĺboch dolnej končatiny
5t57100;Výmena endoprotézy členkového kĺbu na endoportézu členkového kĺbu, necementovanú
5t57101;Výmena endoprotézy členkového kĺbu na endoportézu členkového kĺbu, cementovanú
5t5711;Výmena endoprotézy členkového kĺbu, výmena tibiálnej komponenty
5t5712;Výmena endoprotézy členkového kĺbu, výmena kĺbneho jadra
5t5713;Výmena endoprotézy členkového kĺbu, výmena talárnej komponenty
5t572;Výmena endoprotézy priehlavku
5t573;Výmena endoportézy prednožia a prstov nohy
5t575;Odstránenie endoprotézy členkového kĺbu
5t576;Odstránenie endoprotézy priehlavku
5t577;Odstránenie endoprotézy prednožia a prstov nohy
5t57x;Revízia, výmena a odstránenie endoprotézy na kĺboch dolnej končatiny, ostatné
5t580;Implantácia náhrady časti kosti
5t5812;Implantácia totálnej kostnej náhrady humeru
5t581g;Implantácia totálnej kostnej náhrady femuru
5t581x;Implantácia totálnej kostnej náhrady, iná
5t582;Revízia kostnej náhrady bez výmeny
5t583;Výmena čiastočnej kostnej náhrady
5t5842;Výmena totálnej kostnej náhrady humeru
5t584g;Výmena totálnej kostnej náhrady femuru
5t584x;Výmena totálnej kostnej náhrady, ostatné
5t585;Odstránenie čiastočnej kostnej náhrady
5t5862;Odstránenie totálnej kostnej náhrady humeru
5t586g;Odstránenie totálnej kostnej náhrady femuru
5t586x;Odstránenie totálnej kostnej náhrady, ostatné
5t587;Implantácia stimulátora rastu kosti
5t58x;Implantácia, revízia, výmena a odstránenie čiastočnej kostnej náhrady a totálnej kostnej náhrady, ostatné
5t5900;Artroplastika bedrového kĺbu s osteotómiou bedra, jednoduchá osteotómia
5t5901;Artroplastika bedrového kĺbu s osteotómiou bedra, tripleosteotómia
5t590x;Artroplastika bedrového kĺbu s osteotómiou bedra, ostatné
5t591;Plastika striešky acetabula
5t592;Girdlestonova resekcia na bedrovom kĺbe, primárna
5t593;Resekčná artroplastika na ramennom kĺbe
5t594;Resekčná artroplastika na lakti
5t595;Resekčná artroplastika na zápästí
5t596;Resekčná artroplastika na kolene
5t597;Resekčná artroplastika na členku
5t598;Resekčná artroplastika na kĺboch šlapy
5t599;Zavedenie alebo výmena dočasného spacera po vybratí endoprotézy
5t59g;Odstránenie dočasného spacera
5t59x;Iné plastické kĺbne zákroky, ostatné
5t600;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, debridement
5t601;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, sekvestrotómia
5t602;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, denervácia faciet
5t603;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, odstránenie cudzieho telesa
5t604;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, drenáž
5t605;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly
5t606;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, revízia fistuly so sekvestrotómiou
5t60x;Incízie pri chorobne zmenenom kostnom a kĺbovom tkanive chrbtice, ostatné
5t61a1;Excízia z poškodenej medzistavcovej platničky (bez ďalších opatrení)
5t61a2;Excízia z poškodenej medzistavcovej platničky, odstránenie voľného sekvestra
5t61a3;Excízia z poškodenej medzistavcovej platničky s radikulárnou dekompresiou
5t61a4;Excízia z poškodenej extraforaminálne uloženej medzistavcovej platničky
5t61b1;Perkutánna excízia z poškodenej medzistavcovej platničky bez endoskopie
5t61b2;Perkutánna excízia z poškodenej medzistavcovej platničky s endoskopiou
5t61c1;Reoperácia medzistavcovej platničky pri recidíve
5t61c2;Reoperácia medzistavcovej platničky s radikulolýzou pri recidíve
5t61c3;Revízna operácia medzistavcovej platničky pre pooperačnú komplikáciu v rane 
5t61d;Perkutánna redukcia objemu platničky
5t61x;Ostatné operácie z poškodenej medzistavcovej platničky 
5t620;Excízia spondylofytu (osteofytu)
5t621;Parciálna excízia tela stavca chrbtice
5t622;Totálna excízia tela stavca chrbtice
5t623;Resekcia Dens epistrophei poškodeného kostného a kĺbneho tkaniva chrbtice
5t624;Parciálna artrektómia
5t625;Totálna artrektómia
5t626;Foraminektómia
5t627;Excízia z poškodeného kostného a kĺbneho tkaniva viacerých segmentov stavcov a naliehajúcich štruktúr
5t628;Excízia z poškodeného kostného a kĺbneho tkaniva stavcového oblúka
5t629;Excízia z poškodeného kostného a kĺbneho tkaniva chrbtice stavcového oblúka a naliehajúcich štruktúr
5t62x;Excízia z poškodeného kostného a kĺbneho tkaniva chrbtice, ostatné
5t639;Transplantácie autológnej spongiózy (štepu) alebo kortikospongiózneho štepu na chrbtici
5t63x;Kostná náhrada na chrbtici, ostatné
5t6411;Dorzálna spondylodéza, 1 segment
5t6412;Dorzálna spondylodéza, 2 segmenty
5t6413;Dorzálna spondylodéza, 3 segmenty
5t6414;Dorzálna spondylodéza, 4 segmenty
5t6415;Dorzálna spondylodéza, 5 segmentov
5t6416;Dorzálna spondylodéza, 6 a viac segmentov
5t641a1;Predĺženie dorzálnej spondylodézy s použitím konektora 1 segment 
5t641a2;Predĺženie dorzálnej spondylodézy s použitím konektora 2 segmenty 
5t641a3;Predĺženie dorzálnej spondylodézy s použitím konektora 3 segmenty 
5t641a4;Predĺženie dorzálnej spondylodézy s použitím konektora 4 segmenty 
5t641a5;Predĺženie dorzálnej spondylodézy s použitím konektora 5 segmentov
5t641a6;Predĺženie dorzálnej spondylodézy s použitím konektora 6 segmentov
5t641a7;Predĺženie dorzálnej spondylodézy s použitím konektora 7 a viac segmentov 
5t6421;Ventrálna spondylodéza, 1 segment
5t6422;Ventrálna spondylodéza, 2 segmenty
5t6423;Ventrálna spondylodéza, 3 segmenty
5t6424;Ventrálna spondylodéza, 4 segmenty
5t6425;Ventrálna spondylodéza, 5 segmentov
5t6426;Ventrálna spondylodéza, 6 a viac segmentov
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 1 segment
5t6432;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 2 segmenty
5t6433;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 3 segmenty
5t6434;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 4 segmenty
5t6435;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 5 segmentov
5t6436;Dorzálna a ventrálna kombinovaná spondylodéza medzi stavcami, 6 a viac segmentov
5t64x;Spondylodéza, ostatné
5t6501;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 1 stavec
5t6502;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 2 stavce
5t6503;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 3 stavce
5t6504;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 4 stavce
5t6505;Náhrada tela stavca implantátom a komplexná rekonštrukcia na chrbtici, 5 a viac stavcov
5t6511;Náhrada tela stavca osobitným materiálom a komplexná rekonštrukcia na chrbtici, 1 stavec
5t6512;Náhrada tela stavca osobitným materiálom a komplexná rekonštrukcia na chrbtici, 2 stavce
5t6513;Náhrada tela stavca osobitným materiálom a komplexná rekonštrukcia na chrbtici, 3 stavce
5t6514;Náhrada tela stavca osobitným materiálom a komplexná rekonštrukcia na chrbtici, 4 stavce
5t6515;Náhrada tela stavca osobitným materiálom a komplexná rekonštrukcia na chrbtici, 5 a viac stavcov
5t6516;Náhrada tela stavca a komplexná rekonštrukcia na chrbtici, predný podporný štep bez korekcie
5t6517;Náhrada tela stavca a komplexná rekonštrukcia na chrbtici, predný podporný štep s korekcou
5t651x;Náhrada tela stavca a komplexná rekonštrukcia na chrbtici, ostatné
5t654;Kyfektómia
5t655;Dorzálna korekcia na chrbtici bez ventrálneho uvoľnenia
5t656;Dorzálna korekcia na chrbtici s ventrálnym uvoľnením
5t657;Dorzoventrálna korekcia  na chrbtici 
5t658;Kolumnotómia a polysegmentálna dorzálna lordotizačná spondylodéza [DLS] podľa Zielkeho
5t659;Kolumnotómia a transpedikulárna subtrakčná osteotómia
5t65a;Kolumnotómia a monosegmentálna cervikotorakálna lordotizačná spondylodéza 
5t65b;Dorzo-ventrálna epifyzeodéza na chrbtici
5t65c;Unilaterálna epifyzeodéza na chrbtici s dorzálnou fúziou stavca
5t65d;Bilaterálna epifyzeodéza na chrbtici s dorzálnou fúziou stavca
5t65e1;Epifyzeodéza na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 1 skoba
5t65e2;Epifyzeodéza na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 2 skoby
5t65e3;Epifyzeodéza na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 3 skoby
5t65e4;Epifyzeodéza na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 4 skoby
5t65e5;Epifyzeodéza na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 5 skôb
