kod_diagnozy;nazov_diagnozy
E209;Hypoparatyreóza,bližšie neurčená
E232;Diabetes insipidus
E2500;Adrenogenit.por.,typ 3(nedost.21-hydrox.),klas.for.
E2501;Adrenogenit.por.,typ 3(nedost.21-hydrox.),for.s nesk.nás.
E2508;Iná vrod.adrenogenitálna por.spoj.s nedost.enz.
E2509;Vrod.adrenogenitálna por.spoj.s nedost.enz.,b.n.
E258;Iná adrenogenitálna porucha
E259;Adrenogenitálna porucha,bližšie neurčená
E270;Iná hyperfunkcia kôry nadobličiek
E271;Prim.nedostatočnosť kôry nadoblič.(Addisonova chor.)
E272;Addisonova kríza
E273;Nedostatočnosť kôry nadobličiek zapríčinená liekmi
E274;Iná a bliž.neu.nedostatočnosť kôry nadobličiek
E275;Hyperfunkcia drene nadobličiek
E278;Iná choroba nadobličiek,bližšie určená
E290;Hyperfunkcia semenníkov
E321;Absces týmusu
E343;Nízky vzrast, nezatriedený inde
E351;Choroba štítnej žľazy pri chorobách zatriedených inde
E46;Proteínovo-energetická podvýživa,bližšie neurčená
E700;Klasická fenylketonúria
E701;Iná hyperfenylalaninémia
E702;Porucha metabolizmu tyrozínu
E703;Albinizmus
E708;Iná porucha metabolizmu aromatických aminokyselín
E709;Porucha metaboliz.aromatic.aminokyselín,b.n.
E710;Choroba javorového sirupu [Leucinóza]
E711;Iná poucha metabolizmu aminoky.s rozve.reťazcom
E712;Porucha metab.aminokyselín s rozve.reťazcom,b.n.
E720;Porucha transportu aminokyselín
E721;Porucha metabolizmu aminokyselín obsahujúcich síru
E722;Porucha metabolického cyklu močoviny
E723;Porucha metabolizmu lyzínu a hydroxylyzínu
E724;Porucha metabolizmu ornitínu
E725;Porucha metabolizmu glycínu
E728;Iná porucha metabol.aminokyselín,bliž.určená
E729;Porucha metabolizmu aminokyselín,bližšie neurčená
E740;Choroba z nahromadenia glykogénu (glykogenóza)
E741;Porucha metabolizmu fruktózy
E742;Porucha metabolizmu galaktózy
E760;Mukopolysacharidóza,typ I
E761;Mukopolysacharidóza,typ II
E762;Iná mukopolysacharidóza
E763;Mukopolysacharidóza,bližšie neurčená
E768;Iná porucha metabolizmu glykozaminoglykánu
E769;Porucha metabol.glykozaminoglykánu,b.n.
E786;Nedostatok lipoproteínov
E789;Porucha metabolizmu lipoproteínov,bližšie neurčená
E790;Hyperurikémia bez znakov zápal.artritídy/tofovej dny
E791;Leschov-Nyhanov syndróm
E798;Iná porucha metabolizmu purínu a pyrimidínu
E799;Porucha metabol.purínu a pyrimidínu,b.n.
E800;Dedičná erytropoetická porfýria
E801;Porphyria cutanea tarda
E802;Iná porfýria
E806;Iná porucha metabolizmu bilirubínu
E830;Porucha metabolizmu medi
E840;Cystická fibróza s pľúcnymi prejavmi
E841;Cystická fibróza s črevnými prejavmi
E842;Prim. cil. dyskinézia s respir. prejavmi
E843;Prim. cil. dyskinézia s inými prejavmi
E844;Primárna ciliárna dyskinézia
E8480;Cystická fibróza s pľúcnymi a črevnými prejavmi
E8487;Cystická fibróza s inými mnohopočetnými prejavmi
E8488;Cystická fibróza s inými prejavmi
E849;Cystická fibróza,bližšie neurčená
E881;Lipodystrofia,nezatriedená inde
E892;Hypoparatyreóza po lekárskom výkone
E896;Hypofunkcia kôry nadoblič./drene nadoblič.po lek.výkone
F024;Demencia pri chorobe HIV (B22†)
F193;Porucha psych.a správ.zapríč.uží.drog,i.psych.l.:abstin.synd.
F820;Špecifická porucha vývinu hrubej motoriky
F821;Špecifická porucha vývinu jemnej motoriky a grafomotoriky
F822;Špecifická porucha vývinu ústnej motoriky
F829;Špecifická porucha vývinu motorických funkcií,b.n.
F83;Zmiešaná špecifická vývinová porucha
G000;Meningitída zapríčinená Haemophilus influenzae
G001;Pneumokoková meningitída
G002;Streptokoková meningitída
G003;Stafylokoková meningitída
G008;Iná baktériová meningitída
G009;Baktériová meningitída,bližšie neurčená
G01;Meningitída pri baktériových chorobách zatried.inde
G020;Meningitída pri vírusových chorobách zatried.inde
G021;Meningitída pri mykózach zatriedených inde
G028;Meningitída pri iných bliž.urč.infekč.a parazit.chor.z.i.
G030;Nehnisová meningitída
G031;Chronická meningitída
G032;Benígna recidivujúca meningitída [Mollaretova]
G038;Meningitída zapríčinená inými bliž.urč.príčinami
G039;Meningitída,bližšie neurčená
G050;Encefalitída,myelitída a encefalomyelit.pri bakt.chor.z.i.
G051;Encefalitída,myelitída a encefalomyelit.pri vír.chor.z.i.
G052;Encefalitída,myelit.a encefalomy.pri i.inf.a paraz.chor.z.i.
G058;Encefalitída,myelitída a encefalomyelit.pri i.chor.z.i.
G060;Intrakraniálny absces a granulóm
G061;Intraspinálny absces a granulóm
G062;Extradurálny a subdurálny absces,bližšie neurčený
G07;Intrakran.a intraspin.absces a granulóm pri chor.z.i.
G08;Intrakran.a intraspin.flebitída a tromboflebitída
G120;Detská spinálna svalová atrofia,typ I
G121;Iná zdedená spinálna svalová atrofia
G128;Iná spinálna svalová atrofia a príbuzný syndróm
G129;Spinálna svalová atrofia,bližšie neurčená
G401;Lokal.sympt.epilepsia a epilept.synd.s jednod.fok.zách.
G403;Generalizovaná idiopatická epilepsia a epileptický syndróm
G510;Paréza tvárového nervu[Bellova obrna]
G527;Porucha viacerých hlavových nervov
G531;Obrna viac.hlavových nervov pri inf.a paraz.chor.z.i
G532;Obrna viacerých hlav.nervov pri sarkoidóze
G533;Obrna viacerých hlav.nervov pri nád.chor.
G541;Poškodenie plexus lumbosacralis
G551;Kompresia nerv.koreňov a spletí pri pošk.medzistav.plat.
G552;Kompresia nerv.koreňov a spletí pri spondylóze
G700;Myasthenia gravis
G702;Vrodená a vývinová myasténia
G708;Iná myoneurálna porucha,bližšie určená
G710;Svalová dystrofia
G711;Myotonická porucha
G712;Vrodená myopatia
G719;Primárna choroba svalov,bližšie neurčená
G8230;Chabá tetrap.a tetrapl.akú.komplet.prieč.poš.miechy neúr.pôv.
G8232;Chabá tetrap.a tetrapl.chron.komplet.prieč.poš.miechy
G8239;Chabá tetraparéza a tetraplégia, bližšie neurčená
G8240;Spast.tetrap.a tetrapl.akút.komplet.prieč.poš.miechy neúr.pôv.
G8242;Spast.tetrap.a tetrapl.chron.komplet.prieč.poš.miechy
G8249;Spastická tetraparéza a tetraplégia,bliž.neurč.
G8250;Tetrapa.a tetrapl.b.n.akút.komplet.prieč.poš.miechy neúr.pôv.
G8252;Tetrapar.a tetrapl.b.n.chron.komplet.prieč.poš.miechy
G8259;Tetraparéza a tetraplégia, bližšie neurčená
G830;Diparéza a diplégia horných končatín
G831;Monoparéza a monoplégia dolnej končatiny
G832;Monoparéza a monoplégia hornej končatiny
G833;Monoparéza a monoplégia,bližšie neurčená
G8340;Syndróm cauda equina,kompletný
G8341;Syndróm cauda equina,nekomplený
G8349;Syndróm cauda equina,bližšie neurčený
G911;Obštrukčný hydrocefalus
G9120;Idiopatický normotenzný hydrocefalus
G9121;Sekundárny normotenzný hydrocefalus
G9129;Normotenzný hydrocefalus,bližšie neurčený
G913;Poúrazový hydrocefalus,bližšie neurčený
G918;Iný hydrocefalus
G919;Hydrocefalus,bližšie neurčený
G940;Hydrocefalus pri infekčných a parazitových chor.z.i
G941;Hydrocefalus pri nádorovej chorobe (C00-D48†)
G942;Hydrocefalus pri iných chorobách zatriedených inde
G951;Cievna myelopatia
G952;Kompresia miechy,bližšie neurčená
G959;Choroba miechy,bližšie neurčená
G960;Presakovanie mozgovomiechového moku
G970;Presakovanie mozgovomiechového moku po spinálnej punkcii
H133;Očný pemfigoid (L12.-†)
H168;Iná keratitída
H191;Herpetická keratitída a keratokonjunktivitída (B00.5†)
H192;Keratitída a keratokonjunkt.pri i.infekč.a parazit.chor.z.i.
H320;Chorioretinitída pri infekčných a parazit.chorobách z.i.
H580;Anomálie funkcie zrenice pri chor.z.i.
H621;Zápal vonkajšieho ucha pri vírusových chor.z.i.
H660;Akútny hnisový zápal stredného ucha
I1200;Hypertenzná chor.oblič.s obličk.zlyh.bez prej.hypert.krízy
I1201;Hypertenzná chor.oblič.s obličk.zlyh.s prej.hypert.krízy
I1290;Hypertenzná chor.oblič.bez obličk.zlyh.bez prej.hypert.krízy
I1291;Hypertenzná chor.oblič.bez obličk.zlyh.s prej.hypert.krízy
I1500;Renovaskulárna artér.hypertenzia bez hypert.krízy
I1501;Renovaskulárna artér.hypertenzia s hypert.krízou
I1510;Sekundár.artér.hypert.zapr.i.chor.oblič.bez hypert.krízy
I1511;Sekundár.artér.hypert.zapr.i.chor.oblič.s hypert.krízou
I260;Pľúcna embólia s prejavmi akútneho cor pulmonale
I269;Pľúcna embólia bez prejavov akútneho cor pulmonale
I270;Primárna pľúcna hypertenzia
I271;Srdcová choroba pri kyfoskolióze
I2720;Pľúcna hypertenzia pri chron.tromboembol.chor.
I2728;Iná bližšie určená sekundárna pľúcna hypertenzia
I278;Iné srdcovopľúcne choroby,bližšie určené
I279;Srdcovopľúcna choroba,bližšie neurčená
I300;Akútna nešpecifická idiopatická perikarditída
I301;Infekčná perikarditída
I308;Iná forma akútnej perikarditídy
I309;Akútna perikarditída,bližšie neurčená
I312;Hemoperikard,nezatriedený inde
I313;Perikardový výpotok (nezápalový)
I318;Iná choroba perikardu,bližšie určená
I319;Choroba perikardu,bližšie neurčená
I320;Perikarditída pri bakt.chor.z.i.
I321;Perikarditída pri i.infekč.a parazit.chor.z.i.
I328;Perikarditída pri iných chorobách zatriedených inde
I330;Akútna a subakútna infekčná endokarditída
I339;Akútna endokarditída,bližšie neurčená
I370;Pulmonálna stenóza
I390;Choroba mitrál.chlopne pri chorobách zatried.i.
I391;Choroba aortál.chlopne pri chorobách zatried.i.
I392;Choroba trikuspid.chlopne pri chorobách zatried.i.
I393;Choroba pulmoná.chlopne pri chorobách zatried.i.
I394;Choroba viacerých chlopní pri chorobách.zatried.i.
I398;Endokarditída n.chlopne pri chor.z.i.
I400;Infekčná myokarditída
I409;Akútna myokarditída, bližšie neurčená
I410;Myokarditída pri baktériových chor.z.i.
I411;Myokarditída pri vírusových chor.z.i.
I412;Myokarditída pri i.infekč.a parazit.chorobách zatried.i.
I418;Myokarditída pri iných chorobách zatriedených inde
I431;Kardiomyopatia pri metabolických chorobách
I432;Kardiomyopatia pri poruchách výživy
I440;Atrioventrikulárna blokáda 1. stupňa
I441;Atrioventrikulárna blokáda 2. stupňa
I442;Atrioventrikulárna blokáda 3. stupňa
I443;Iná a bližšie neurčená atrioventrikulárna blokáda
I444;Ľavá predná fascikulárna blokáda
I445;Ľavá zadná fascikulárna blokáda
I446;Iná a bližšie neurčená fascikulárna blokáda
I447;Blokáda ľavého ramienka,bližšie neurčená
I450;Pravá fascikulárna blokáda
I451;Iná a bližšie neurčená blokáda pravého ramienka
I452;Bifascikulárna blokáda
I453;Trifascikulárna blokáda
I454;Nešpecifická intraventrikulárna blokáda
I455;Iná bližšie určená srdcová blokáda
I456;Syndróm preexcitácie
I458;Iné poruchy vedenia srdcových vzruchov,b.u.
I459;Porucha vedenia srdcových vzruchov,b.n.
I460;Zastavenie srdca s úspešnou resuscitáciou
I461;Náhla srdcová smrť, takto opísaná
I468;Zlyhanie srdca
I469;Zastavenie srdca,bližšie neurčené
I471;Supraventrikulárna tachykardia
I472;Komorová tachykardia
I479;Paroxyzmálna tachykardia,bližšie neurčená
I480;Fibrilácia predsiení,paroxyzmálna
I481;Fibrilácia predsiení,perzistentná
I482;Fibrilácia predsiení,permanetná
I483;Flater predsiení,typický
I484;Flater predsiení,atypický
I489;Fibrilácia a flater predsiení,bližšie neurčené
I490;Flater komôr a fibrilácia komôr
I5000;Primárne zlyhávanie pravej komory
I5001;Sekundárne zlyhávanie pravej komory
I5011;Zlyhávanie ľavej komory: bez ťažkostí
I5012;Zlyhávanie ľavej komory,s ťažkosťami pri veľkom zaťažení
I5013;Zlyhávanie ľavej komory,s ťažkosťami pri malom zaťažení
I5014;Zlyhávanie ľavej komory,s ťažkosťami v pokoji
I5019;Zlyhávanie ľavej komory,bližšie neurčené
I509;Zlyhávanie srdca,bližšie neurčené
I511;Ruptúra chordae tendineae,nezatriedená inde
I512;Ruptúra papilárneho svalu,nezatriedená inde
I514;Myokarditída,bližšie neurčená
I515;Degenerácia myokardu
I516;Srdcovocievna choroba,bližšie neurčená
I600;Subarachnoidálne krvácanie z karotického sifónu a bifurkácie
I601;Subarachnoidálne krvácanie z a.cerebri media
I602;Subarachnoidálne krvácanie z a.communicans anterior
I603;Subarachnoidálne krvácanie z a.communicans posterior
I604;Subarachnoidálne krvácanie z a.basilaris
I605;Subarachnoidálne krvácanie z a.vertebralis
I606;Subarachnoidálne krvácanie z i.intrakraniálnych tep.
I607;Subarachnoidálne krvácanie z intrakraniálnej tepny,b.n.
I608;Iné subarachnoidálne krvácanie
I609;Subarachnoidálne krvácanie,bližšie neurčené
I610;Vnútromozgové krvácanie do mozg.hemisféry,subkortikálne
I611;Vnútromozgové krvácanie do hemisféry,kortikálne
I612;Vnútromozgové krvácanie do hemisféry,bližšie neurčené
I613;Vnútromozgové krvácanie do mozgového kmeňa
I614;Vnútromozgové krvácanie do mozočka (cerebela)
I615;Vnútromozgové vnútrokomorové (intraventrik.)krvácanie
I616;Vnútromozgové krvácanie na viacerých miestach
I618;Iné vnútromozgové krvácanie
I619;Vnútromozgové krvácanie,bližšie neurčené
I6200;Subdurálne krvácanie (neúrazové),akútne
I6201;Subdurálne krvácanie (neúrazové),subakútne
I6202;Subdurálne krvácanie (neúrazové),chronické
I6209;Subdurálne krvácanie (neúrazové),bližšie neurčené
I621;Neúrazové extradurálne krvácanie
I629;Intrakraniálne krvácanie(neúrazové),b.n.
I630;Mozgový infarkt,zapríč.trombózou prív.mozg.tep.
I631;Mozgový infarkt,zapríč.embolizáciou prív.mozg.tep.
I632;Mozgový infarkt,zapríč.bliž.n.záverom/zúž.prívod.mozg.tep.
I633;Mozgový infarkt,zapríč.trombózou mozg.tep.
I634;Mozgový infarkt,zapríč.embóliou mozg.tep.
I635;Mozgový infarkt,zapríč.b.n.uzáverom/zúž.mozg.tep.
I636;Mozgový infarkt,zapríč.nehnis.mozg.žilovou trombózou
I638;Iný mozgový infarkt
I639;Mozgový infarkt,bližšie neurčený
I650;Uzáver a zúženie a.vertebralis
I651;Uzáver a zúženie a.basilaris
I652;Uzáver a zúženie a.carotis
I653;Uzáver a zúženie viac.prívod.mozgových tepien,obojstranne
I658;Uzáver a zúženie iných prívodných mozgových tepien
I659;Uzáver a zúženie bliž.neur.prívodnej mozgovej tepny
I660;Uzáver a zúženie a.cerebri media
I661;Uzáver a zúženie a.cerebri anterior
I662;Uzáver a zúženie a.cerebri posterior
I663;Uzáver a zúženie mozočkových tepien
I664;Uzáver a zúženie viac.mozgových tepien,obojstranne
I668;Uzáver a zúženie inej mozgovej tepny
I669;Uzáver a zúženie bližšie neurčenej mozgovej tepny
I6710;Získaná mozgová aneuryzma
I6711;Získaná mozgová artériovenózna fistula
I676;Nehnisová trombóza intrakraniálneho žilového systému
I7100;Disekcia aorty bez bliž.urč.miesta bez prej.ruptúry
I7101;Disekcia hrudníkovej aorty,bez prejavov ruptúry
I7102;Disekcia brušnej aorty,bez prejavov ruptúry
I7103;Disekcia hrudník.-bruš.aorty,bez prejav.ruptúry
I7104;Disekcia aorty bez bliž.urč.miesta,s ruptúrou
I7105;Disekcia hrudníkovej aorty,s ruptúrou
I7106;Disekcia brušnej aorty,s ruptúrou
I7107;Disekcia hrudníkovo-brušnej aorty,s ruptúrou
I711;Aneuryzma hrudníkovej aorty,s ruptúrou
I712;Aneuryzma hrudníkovej aorty,bez prejavov ruptúry
I713;Aneuryzma brušnej aorty,s ruptúrou
I714;Aneuryzma brušnej aorty,bez prejavov ruptúry
I715;Aneuryzma hrudníkovo-brušnej aorty,s ruptúrou
I716;Aneuryzma hrudník.-bruš.aorty,bez údaja o ruptúre
I718;Aneuryzma aorty bez bliž.urč.miesta,s ruptúrou
I719;Aneuryzma aorty bez bliž.urč.miesta,bez prejavov ruptúry
I738;Iné choroby periférnych ciev,bližšie určené
I739;Choroba periférnych ciev,bližšie neurčená
I740;Embólia a trombóza brušnej aorty
I741;Embólia a trombóza i.a bliž.ne.častí aorty
I742;Embólia a trombóza tepien horných končatín
I743;Embólia a trombóza tepien dolných končatín
I744;Embólia a trombóza tepien končatín,b.n.
I745;Embólia a trombóza a.iliaca
I748;Embólia a trombóza iných tepien
I749;Embólia a trombóza bližšie neurčenej tepny
I772;Ruptúra tepny
I775;Nekróza tepny
I790;Aneuryzma aorty pri chorobách zatriedených inde
I792;Periférna angiopatia pri chor.z.i.
I8000;Hlb. žil. tromb. žíl DK - vyprovokovaná
I8001;Hlb. žil. tromb. žíl DK - vyprov., prox. (od v. poplitea nahor)
I8002;Hlb. žil. tromb. žíl DK - vyprov, dist.(infrapopl.ž.+vnútrosval.ž.)
I8010;Hlb. žil. tromb. žíl DK - idiopatická (nevyprovok.)
I8011;Hlb. žil. tromb. žíl DK - idiopat., prox. (od v. poplitea nahor)
I8012;Hlb. žil. tromb. žíl DK - idiopat,dist.(infrapopl.ž.+vnútrosval.ž.)
I802;Recidiv. hlboká žilová tromb. žíl DK
I81;Trombóza v. portae
I820;Buddov-Chiariho syndróm
I822;Embólia a trombóza v.cava
I823;Embólia a trombóza obličkovej žily
I850;Varixy pažeráka s krvácaním
I891;Lymfangitída
I898;Iné neinfekčné chor.lymfatických ciev a lymfat.uzlín,b.u.
I970;Postkardiotomický syndróm
I971;Iná funkčná porucha po operácii srdca
I980;Kardiovaskulárny syfilis
I981;Porucha obeh.súst.pri iných infekč.a parazit.chor.z.i.
J09;Chrípka zapríč.určitým identifikov.vírusom chrípky
J100;Chrípka zapríč.i.identifikov.vírus.chrípky so zápalom pľúc
J101;Chrípka zapríč.i.identifikov.vírus.chrípky s i.respir.prejav.
J108;Chrípka zapríč.i.identifikov.vírus.chrípky s i.prej.
J110;Chrípka zapríč.neidentifovan.vírusom so zápalom pľúc
J111;Chrípka zapríč.neidentifovan.vírusom s i.respir.prejav.
J118;Chrípka zapríč.neidentifovan.vírusom s i.prejavmi
J120;Zápal pľúc zapríčinený adenovírusom
J121;Zápal pľúc zapríč.respiračným syncyciálnym vírusom
J122;Zápal pľúc zapríčinený vírusom parainfluenzy
J123;Zápal pľúc zapríčinený ľudským metapneumovírusom
J128;Iný vírusový zápal pľúc
J129;Vírusový zápal pľúc,bližšie neurčený
J13;Zápal pľúc zapríčinený Streptococcus pneumoniae
J14;Zápal pľúc zapríčinený Haemophilus influenzae
J150;Zápal pľúc zapríčinený Klebsiella pneumoniae
J151;Zápal pľúc zapríčinený pseudomonas
J152;Zápal pľúc zapríčinený stafylokokom
J153;Zápal pľúc zapríčinený streptokokom skupiny B
J154;Zápal pľúc zapríčinený iným streptokokom
J155;Zápal pľúc zapríčinený Escherichia coli
J156;Zápal pľúc,zapr.i.aeróbnou gramnegat.baktériou
J157;Zápal pľúc zapríčinený Mycoplasma pneumoniae
J158;Iný baktériový zápal pľúc
J159;Baktériový zápal pľúc,bližšie neurčený
J160;Zápal pľúc zapríčinený chlamýdiami
J168;Zápal pľúc zapríč.iným bliž.urč.infekčným organ.
J170;Zápal pľúc pri baktériových chorobách z.i.
J171;Zápal pľúc pri vírusových chorobách z.i.
J172;Zápal pľúc pri mykózach zatriedených inde
J173;Zápal pľúc pri parazitových chorobách
J178;Zápal pľúc pri iných chorobách zatriedených inde
J180;Bronchopneumónia,bližšie neurčená
J181;Lobárny zápal pľúc,bližšie neurčený
J188;Iný zápal pľúc,zapríč.bliž.neurč.organizmom
J189;Zápal pľúc,bližšie neurčený
J210;Akútna bronchiolitída zapríč.respirač.syncyciálnym vírusom
J211;Akútna bronchiolitída zapríč.ľudským metapneumovírusom
J218;Akútna bronchiolitída zapríč.i.bliž.urč.organ.
J219;Akútna bronchiolitída,bližšie neurčená
J343;Hypertrofia nosových mušlí
J3800;Obrna hlasiviek a hrtana, bližšie neurčená
J3802;Jednostranná kompletná obrna hlasiviek a hrtana
J3803;Obojstranná čiastočná obrna hlasiviek a hrtana
J386;Stenóza hrtana
J387;Iná choroba hrtana
J390;Retrofaryngový a parafaryngový absces
J690;Zápal pľúc,zapríč.vdýchnutím potravy a zvratkov
J691;Zápal pľúc,zapríčinený olejmi a esenciami
J698;Zápal pľúc,zapríč.i.tuhými látkami a tekutinami
J850;Gangréna a nekróza pľúc
J851;Absces pľúc so zápalom pľúc
J852;Absces pľúc bez zápalu pľúc
J853;Absces mediastína
J860;Pyotorax s fistulou
J869;Pyotorax bez fistuly
J90;Pohrudnicový výpotok,nezatriedený inde
J91;Pohrudnicový výpotok pri chor.z.i.
J940;Chylózny pohrudnicový výpotok
J942;Hemotorax
J948;Iná choroba pohrudnice,bližšie určená
J949;Choroba pohrudnice,bližšie neurčená
J950;Porucha funkcie tracheostómie
J9580;Iatrogénny pneumotorax
K071;Anomálie polohy čeľustí oproti lebkovej spodine
K078;Iné dentofaciálne anomálie
K222;Nepriechodnosť pažeráka
K223;Prederavenie pažeráka
K224;Dyskinéza pažeráka
K316;Fistula žalúdka a dvanástnika
K352;Akútna apendicitída s generalizovanou peritonitídou
K3530;Akútna apendicitída s lokaliz.peritonitídou,bez perfor./rupt.
K3531;Akút.apendicitída s lokaliz.peritonitídou,s perfor./ruptúrou
K3532;Akútna apendicitída s abscesom pobrušnice
K358;Akútna apendicitída,bližšie neurčená
K37;Apendicitída,bližšie neurčená
K4000;Obojstran.slabin.prietrž s obšt.bez gang.neozn.ako recid.
K4001;Obojstranná slabin.prietrž s obšt.bez gang.recidiv.
K4010;Obojstranná slabinová prietrž s gang.neozn.ako recidiv.
K4011;Obojstranná slabinová prietrž s gang.recidivujúca
K4030;Jednostr./neurč.slab.prietrž s obšt.bez gang.neozn.ako recid.
K4031;Jednostr./neurč.slab.prietrž s obšt.bez gang.recid.
K4040;Jednostran./neurč.slab.prietrž s gang.neozn.ako recid.
K4041;Jednostran./neurč.slab.prietrž s gang.recid.
K410;Obojstranná stehnová prietrž s obšt.bez gang.
K411;Obojstranná stehnová prietrž s gangrénou
K413;Jednostran./bliž.neu.stehno.prietrž s obšt.bez gang.
K414;Jednostran/bliž.neu.stehno.prietrž s gang.
K420;Pupková prietrž s obštrukciou bez gangrény
K421;Pupková prietrž s gangrénou
K430;Prietrž v jazve s obštrukciou bez gangrény
K431;Prietrž v jazve s gangrénou
K433;Parastomická prietrž s obštrukciou bez gangrény
K434;Parastomická prietrž s gangrénou
K440;Bránicová prietrž s obštrukciou bez gangrény
K441;Bránicová prietrž s gangrénou
K451;Iná brušná prietrž,bližšie určená s gangrénou
K461;Brušná prietrž,bližšie neurčená s gangrénou
K521;Toxická gastroenteritída a kolitída
K550;Akútna cievna choroba čreva
K5521;Angiodysplázia hrubého čreva,bez prejavov krvác.
K560;Paralytický ileus
K561;Invaginácia
K562;Volvulus
K564;Iná obturácia čreva
K566;Iný a bližšie neurčený mechanický ileus
K567;Ileus,bližšie neurčený
K593;Megakolon,nezatriedený inde
K610;Análny absces
K611;Rektálny absces
K612;Anorektálny absces
K613;Ischiorektálny absces
K614;Vnútrosfinkterový absces
K622;Prolaps anusu
K623;Prolaps konečníka
K624;Stenóza anusu a konečníka
K630;Absces čreva
K631;Perforácia čreva (neúrazová)
K632;Fistula čreva
K633;Vred čreva
K650;Akútny zápal pobrušnice
K658;Iný zápal pobrušnice
K659;Zápal pobrušnice,bližšie neurčený
K660;Pobrušnicové zrasty
K661;Hemoperitoneum
K668;Iné choroby pobrušnice,bližšie určené
K670;Zápal pobrušnice,zapríčinený chlamýdiami (A74.8†)
K671;Gonokokový zápal pobrušnice (A54.8†)
K673;Tuberkulózny zápal pobrušnice (A18.3†)
K678;Iná choroba pobrušnice pri infekč.chor.z.i.
K710;Toxická choroba pečene s cholestázou
K711;Toxická choroba pečene s pečeňovou nekrózou
K712;Toxická choroba pečene s akútnou hepatitídou
K713;Toxická chor.pečene s chronick.perzistujúcou hepatitídou
K714;Toxická chor.pečene s chronick.lobulárnou hepatitídou
K715;Toxická choroba pečene s chron.aktívnou hepatitídou
K716;Toxická choroba pečene s hepatitídou,n.i.
K717;Toxická choroba pečene s fibrózou a cirhózou pečene
K718;Toxická choroba pečene s inými poruchami pečene
K719;Toxická choroba pečene,bližšie neurčená
K720;Akútne a subakútne pečeňové zlyhávanie
K740;Fibróza pečene
K742;Fibróza pečene so sklerózou pečene
K743;Primárna biliárna cirhóza
K744;Sekundárna biliárna cirhóza
K745;Biliárna cirhóza,bližšie neurčená
K746;Iná a bližšie neurčená cirhóza pečene
K750;Absces pečene
K751;Flebitída vrátnice (v. portae)
K752;Nešpecifická reaktívna hepatitída
K753;Granulomatózna hepatitída,nezatriedená inde
K754;Autoimunitná hepatitída
K758;Iná zápalová choroba pečene,bližšie určená
K759;Zápalová choroba pečene,bližšie neurčená
K760;Stukovatenie pečene, nezatriedené inde
K762;Centrálna hemoragická nekróza pečene
K763;Infarkt pečene
K764;Pelióza pečene
K766;Portálna hypertenzia
K767;Hepatorenálny syndróm
K770;Pečeňová porucha pri infekč./parazit.chor.z.i.
K7711;Postihnutie pečene pri akút.chor.štepu proti host.GvH,1.štád.
K7712;Postihnutie pečene pri akút.chor.štepu proti host.GvH,2.štád.
K7713;Postihnutie pečene pri akút.chor.štepu proti host.GvH,3.štád.
K7714;Postihnutie pečene pri akút.chor.štepu proti host.GvH,4.štád.
K778;Pečeňová porucha pri iných chorobáchz.i.
K831;Obštrukcia žlčových ciest
K902;Syndróm slepej slučky,nezatriedený inde
K903;Pankreatická steatorea
K911;Syndrómy po operácii žalúdka
K931;Megakolon pri Chagasovej chorobe (B57.3†)
L000;Synd.obar.kože zapríč.stafylok.s postih.men.ako 30% povrch.t.
L001;Synd.obarenej kože zapríč.stafylok.s postih.30%p.t.a viac
L102;Pemphigus foliaceus
L118;Iná akantolytická dermatóza,bližšie určená
L119;Akantolytická dermatóza,bližšie neurčená
L120;Pľuzgierový(bulózny)pemfigoid
L123;Získaná pľuzgierová (bulózna) epidermolýza
L128;Iný pemfigoid
L129;Pemfigoid,bližšie neurčený
L130;Herpetiformná dermatitída(dermatitis herpetiformis)
L131;Dermatitis pustulosa subcornealis
L138;Iné pľuzgierové(bulózne)dermatózy,bližšie určené
L14;Pľuzgierová dermatóza pri choroba zatried.i.
L401;Generalizovaná pustulová psoriáza
L510;Nepľuzgierový multiformný erytém
L511;Pľuzgierový multiformný erytém
L5120;Toxická nekrolýza epidermy s postih.men.ako 30%povrchu t.
L5121;Toxická nekrolýza epidermy s postih.30%povrch.tela a viac
L518;Iný multiformný erytém
L519;Multiformný erytém,bližšie neurčený
L744;Anhidróza
M0000;Artritída a polyartrit.zapríč.stafylo. na viac.m.
M0001;Artritída a polyartrit.zapríč.stafylok v obl.pleca
M0002;Artritída a polyartrit.zapríč.stafylok.v obl.nadlaktia
M0003;Artritída a polyartrit.zapríč.stafylok.v obl.predlak.
M0004;Artritída a polyartrit.zapríč.stafylok.v obl.ruky
M0005;Artritída a polyartrit.zapríč.stafylok.panv.obl.a stehna
M0006;Artritída a polyartrit.zapríč.stafylok.v obl.predkol.
M0007;Artritída a polyartrit.zapríč.stafylok.v obl.čl.a nohy
M0008;Artritída a polyartrit.zapríč.stafylok.na i.mieste
M0009;Artritída a polyartrit.zapríč.stafylok.na n.mieste
M0010;Artritída a polyartrit.zapríč.pneumok.,na viac.m.
M0011;Artritída a polyartrit.zapríč.pneumok.v obl.pleca
M0012;Artritída a polyartrit.zapríč.pneumok.v obl.nadlaktia
M0013;Artritída a polyartrit.zapríč.pneumok.v obl.predlak.
M0014;Artritída a polyartrit.zapríč.pneumok.v obl ruky
M0015;Artritída a polyartrit.zapríč.pneumok.panv.obl.a stehna
