kod_vykonu;nazov_vykonu;skupina_diagnoz;kod_ms;nazov_ms
5n411x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, submukózna excízia ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4130;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, elektrokoaguláciou peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4137;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, elektrokoaguláciou endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n413x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka elektrokoaguláciou, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4140;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, laserovou koaguláciou peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4147;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, laserovou koaguláciou endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n414x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka laserovou koaguláciou, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4150;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, termokoaguláciou peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4157;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, termokoaguláciou endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n415x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka termokoaguláciou, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4160;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, kryokoaguláciou peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4167;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, kryokoaguláciou endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n416x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka kryokoaguláciou, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4170;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, fotodynamickou liečbou peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4176;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, fotodynamickou liečbou endoskopicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4177;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, fotodynamickou liečbou endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n417x;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka fotodynamickou liečbou, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4180;Peranálna excízia celej steny chorého tkaniva konečníka, lokálne peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4186;Peranálna excízia celej steny chorého tkaniva konečníka, lokálne endoskopicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4187;Peranálna excízia celej steny chorého tkaniva konečníka, lokálne endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4188;Peranálna lokálna excízia celej steny chorého tkaniva konečníka, transanálne miniinvazívne [TAMIS];Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n418x;Peranálna lokálna excízia celej steny chorého tkaniva konečníka, ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4190;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna peranálne ;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4197;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna endoskopicko-mikrochirurgicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n419x;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna ostatné;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n41a7;Peranálna excízia celej steny chorého tkaniva konečníka, cirkulárna intraperitoneálna endoskopická, mikrochirurgická;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n41b0;Peranálne cirkulárna excízia celej steny chorého tkalniva konečníka so staplerom;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n41b1;Peranálne semicirkulárna excízia celej steny chorého tkalniva konečníka so staplerom;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n41x2;Peranálna lokálna excízia a deštrukcia celej steny chorého tkaniva konečníka so staplerom, iná peranálne;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n41x6;Peranálna lokálna excízia a deštrukcia celej steny chorého tkaniva konečníka so staplerom, peranálne endoskopicky;Skupina onkologických diagnóz 75;S44-28;Komplexné peranálne operácie - onko
5n4100;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, resekcia slučkou peranálne;Skupina onkologických diagnóz 84;S44-28;Komplexné peranálne operácie - onko
5n4106;Peranálna lokálna excízia a deštrukcia chorého tkaniva konečníka, resekcia slučkou endoskopicky;Skupina onkologických diagnóz 84;S44-28;Komplexné peranálne operácie - onko
5n3451;Revízia anastomózy jejuna;Skupina onkologických diagnóz 100;S44-29;Komplexné výkony na čreve - onko
5n3452;Revízia anastomózy ilea;Skupina onkologických diagnóz 103;S44-29;Komplexné výkony na čreve - onko
5n3340;Premena kontinentnej stómie duodena;Skupina onkologických diagnóz 109;S44-29;Komplexné výkony na čreve - onko
5n3350;Korektúra parastómiálnej hernie [prietrže] duodena;Skupina onkologických diagnóz 109;S44-29;Komplexné výkony na čreve - onko
5n3390;Iná revízia a ďalšie výkony na enterostómii duodena;Skupina onkologických diagnóz 109;S44-29;Komplexné výkony na čreve - onko
5n339x;Iná revízia a ďalšie výkony na enterostómii, ostatné;Skupina onkologických diagnóz 109;S44-29;Komplexné výkony na čreve - onko
5n3341;Premena kontinentnej stómie jejuna;Skupina onkologických diagnóz 110;S44-29;Komplexné výkony na čreve - onko
5n3351;Korektúra parastómiálnej hernie [prietrže] jejuna;Skupina onkologických diagnóz 110;S44-29;Komplexné výkony na čreve - onko
5n3391;Iná revízia a ďalšie výkony na enterostómii jejuna;Skupina onkologických diagnóz 110;S44-29;Komplexné výkony na čreve - onko
5n3342;Premena kontinentnej stómie ilea;Skupina onkologických diagnóz 111;S44-29;Komplexné výkony na čreve - onko
5n3352;Korektúra parastómiálnej hernie [prietrže] ilea;Skupina onkologických diagnóz 111;S44-29;Komplexné výkony na čreve - onko
5n3392;Iná revízia a ďalšie výkony na enterostómii ilea;Skupina onkologických diagnóz 111;S44-29;Komplexné výkony na čreve - onko
5n3453;Revízia anastomózy hrubého čreva;Skupina onkologických diagnóz 22;S44-29;Komplexné výkony na čreve - onko
5n345x;Revízia anastomózy čreva, iné;Skupina onkologických diagnóz 34;S44-29;Komplexné výkony na čreve - onko
5n3343;Premena kontinentnej stómie hrubého čreva;Skupina onkologických diagnóz 50;S44-29;Komplexné výkony na čreve - onko
5n3353;Korektúra parastómiálnej hernie [prietrže] hrubého čreva;Skupina onkologických diagnóz 50;S44-29;Komplexné výkony na čreve - onko
5n3393;Iná revízia a ďalšie výkony na enterostómii hrubého čreva;Skupina onkologických diagnóz 50;S44-29;Komplexné výkony na čreve - onko
5n334x;Premena kontinentnej stómie, ostatné;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n335x;Korektúra parastómiálnej hernie [prietrže], ostatné;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n3910;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, laparotomicky;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n3912;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, laparoskopicky;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n3914;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, konverzia laparoskopie na laparotómiu;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n391x;Vloženie alebo výmena samoexpandovateľnej protézy na čreve, ostatné;Skupina onkologických diagnóz 6;S44-29;Komplexné výkony na čreve - onko
5n39g0;Transduodenálna drenáž cysty pankreasu, laparotomicky;Skupina onkologických diagnóz 68;S44-29;Komplexné výkony na čreve - onko
5n39g2;Transduodenálna drenáž cysty pankreasu, laparoskopicky;Skupina onkologických diagnóz 68;S44-29;Komplexné výkony na čreve - onko
5n39g4;Transduodenálna drenáž cysty pankreasu, konverzia z laparoskopie na laparotómiu;Skupina onkologických diagnóz 68;S44-29;Komplexné výkony na čreve - onko
5n39gx;Transduodenálna drenáž cysty pankreasu, ostatné;Skupina onkologických diagnóz 68;S44-29;Komplexné výkony na čreve - onko
5n3450;Revízia anastomózy duodena;Skupina onkologických diagnóz 99;S44-29;Komplexné výkony na čreve - onko
5n91x;Laparotómia a lumbotómia, ostatné;Skupina onkologických diagnóz 3;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n994;Vsunutie peritoneovaskulárneho shuntu;Skupina onkologických diagnóz 5;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n995;Implantácia katétrového systému do brušnej dutiny;Skupina onkologických diagnóz 5;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n996;Revízia katétrového systému v brušnej dutine;Skupina onkologických diagnóz 5;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n997;Odstránenie katétrového systému z brušnej dutiny;Skupina onkologických diagnóz 5;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n99x;Iné operácie v brušnej dutine, ostatné;Skupina onkologických diagnóz 5;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n915;Exploratívna lumbotómia;Skupina onkologických diagnóz 8;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5n916;Opakovaná lumbotómia;Skupina onkologických diagnóz 8;S44-32;Lumbotómia a iné komplexné výkony v brušnej oblasti - onko
5o363;Revízia cystostómie;Skupina onkologických diagnóz 17;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o36x;Cystostómia, ostatné;Skupina onkologických diagnóz 17;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3000;Sutúra močového mechúra po poranení, otvorene chirurgicky;Skupina onkologických diagnóz 33;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3004;Sutúra močového mechúra po poranení, laparoskopicky;Skupina onkologických diagnóz 33;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o300x;Sutúra močového mechúra po poranení, ostatné;Skupina onkologických diagnóz 33;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3024;Uzavretie vezikokutánnej fistuly, laparoskopicky;Skupina onkologických diagnóz 33;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3710;Iná deštrukcia chorého tkaniva močového mechúra, otvorene chirurgicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3714;Iná deštrukcia chorého tkaniva močového mechúra, laparoskopicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o37x;Iná excízia a deštrukcia chorého tkaniva močového mechúra, ostatné;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3950;Operačné zastavenie krvácania na močovom mechúri, otvorene chirurgicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3951;Operačné zastavenie krvácania na močovom mechúri, perkutánne;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3953;Operačné zastavenie krvácania na močovom mechúri, cez stómiu;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3954;Operačné zastavenie krvácania na močovom mechúri, laparoskopicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o395x;Operačné zastavenie krvácania na močovom mechúri, ostatné;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3980;Revízia na močovom mechúri, otvorene chirurgicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3981;Revízia na močovom mechúri, perkutánne;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3983;Revízia na močovom mechúri, cez stómiu;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o3984;Revízia na močovom mechúri, laparoskopicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o398x;Revízia na močovom mechúri, ostatné;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o39x0;Iné operácie na močovom mechúri, otvorene chirurgicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o39x1;Iné operácie na močovom mechúri, perkutánne;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o39x3;Iné operácie na močovom mechúri, cez stómiu;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o39x4;Iné operácie na močovom mechúri, laparoskopicky;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o39xx;Iné operácie na močovom mechúri, ostatné;Skupina onkologických diagnóz 46;S44-35;Menej komplexné výkony na močovom mechúri - onko
5o1134;Nefrektómia pre nenádorové ochorenie rukou asistovaná, laparoskopicky;Skupina onkologických diagnóz 80;S44-37;Nefrektómia - onko
5o1144;Ureteronefrektómia pre nenádorové ochorenie, laparoskopicky;Skupina onkologických diagnóz 80;S44-37;Nefrektómia - onko
5o1101;Radikálna nefrektómia, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1102;Radikálna nefrektómia, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1103;Radikálna nefrektómia, torakoabdominálne;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1104;Radikálna nefrektómia, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1105;Radikálna nefrektómia, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1106;Radikálna nefrektómia s použitím mimotelového obehu;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o110x;Radikálna nefrektómia, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1111;Radikálna nefrektómia s ureterektómiou, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1112;Radikálna nefrektómia s ureterektómiou, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1114;Radikálna nefrektómia s ureterektómiou, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1115;Radikálna nefrektómia s ureterektómiou, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o111x;Radikálna nefrektómia s ureterektómiou, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1121;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1122;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1124;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1125;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o112x;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11501;Nefrektómia transplantovanej obličky, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1150x;Nefrektómia transplantovanej obličky, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1161;Nefrektómia bez ďalších výkonov, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1162;Nefrektómia bez ďalších výkonov, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1164;Nefrektómia bez ďalších výkonov, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1165;Nefrektómia bez ďalších výkonov, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o116x;Nefrektómia bez ďalších výkonov, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1171;Nefrektómia s ureterektómiou, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1172;Nefrektómia s ureterektómiou, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1174;Nefrektómia s ureterektómiou, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1175;Nefrektómia s ureterektómiou, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o117x;Nefrektómia s ureterektómiou, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11x1;Iná nefrektómia, laparotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11x2;Iná nefrektómia, lumbotomicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11x3;Iná nefrektómia, torakoabdominálne;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11x4;Iná nefrektómia, laparoskopicky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11x5;Iná nefrektómia, roboticky;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o11xx;Iná nefrektómia, ostatné;Skupina onkologických diagnóz 87;S44-37;Nefrektómia - onko
5o1201;Parciálna resekcia obličky, laparotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1202;Parciálna resekcia obličky, lumbotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1204;Parciálna resekcia obličky, laparoskopicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1205;Parciálna resekcia obličky, roboticky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o120x;Parciálna resekcia obličky, ostatné;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1211;Parciálna resekcia obličky s ureterektómiou, laparotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1212;Parciálna resekcia obličky s ureterektómiou, lumbotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1214;Parciálna resekcia obličky s ureterektómiou, laparoskopicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1215;Parciálna resekcia obličky s ureterektómiou, roboticky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o121x;Parciálna resekcia obličky s ureterektómiou, ostatné;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1221;Parciálna resekcia obličky s chladiacou perfúziou, laparotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1222;Parciálna resekcia obličky s chladiacou perfúziou, lumbotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o1224;Parciálna resekcia obličky s chladiacou perfúziou, laparoskopicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o122x;Parciálna resekcia obličky s chladiacou perfúziou, ostatné;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o12x1;Iná parciálna resekcia obličky, laparotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o12x2;Iná parciálna resekcia obličky, lumbotomicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o12x4;Iná parciálna resekcia obličky, laparoskopicky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o12x5;Iná parciálna resekcia obličky, roboticky;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5o12xx;Iná parciálna resekcia obličky, ostatné;Skupina onkologických diagnóz 95;S44-37;Nefrektómia - onko
5q2210;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, laparotomicky;Skupina onkologických diagnóz 113;S44-38;Onkologické výkony - krčok uteru - onko
5q2211;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, vaginálne s laparoskopickou asistenciou;Skupina onkologických diagnóz 113;S44-38;Onkologické výkony - krčok uteru - onko
5q2214;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, laparoskopicky;Skupina onkologických diagnóz 113;S44-38;Onkologické výkony - krčok uteru - onko
5q2217;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, vaginálne;Skupina onkologických diagnóz 113;S44-38;Onkologické výkony - krčok uteru - onko
5q520;Radikálna parametrektómia;Skupina onkologických diagnóz 53;S44-39;Onkologické výkony - lymfatické uzliny - onko
5q4050;Pelvická exenterácia, laparotomicky;Skupina onkologických diagnóz 65;S44-39;Onkologické výkony - lymfatické uzliny - onko
5q4054;Pelvická exenterácia, laparoskopicky;Skupina onkologických diagnóz 65;S44-39;Onkologické výkony - lymfatické uzliny - onko
5q4058;Pelvická exenterácia, roboticky;Skupina onkologických diagnóz 65;S44-39;Onkologické výkony - lymfatické uzliny - onko
5q0130;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparotomicky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q0134;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparoskopicky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q0138;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), roboticky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q0140;Radikálna ovarektómia, laparotomicky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q0144;Radikálna ovarektómia, laparoskopicky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q0148;Radikálna ovarektómia, roboticky;Skupina onkologických diagnóz 91;S44-40;Onkologické výkony - ováriá - onko
5q42800;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42804;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, laparoskopicky;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42807;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, vaginálne;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42808;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, roboticky;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42810;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne a detekcia sentinelových lymfatických uzlín;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42820;Radikálna hysterektómia s transpozíciou vaječníkov, abdominálne;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42824;Radikálna hysterektómia s transpozíciou vaječníkov, laparoskopicky;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42827;Radikálna hysterektómia s transpozíciou vaječníkov, vaginálne;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42828;Radikálna hysterektómia s transpozíciou vaječníkov, roboticky;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42830;Radikálna hysterektómia s transpozíciou vaječníkov, abdominálne a detekcia sentinelových lymfatických uzlín;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42834;Radikálna hysterektómia s transpozíciou vaječníkov, laparoskopicky a detekcia sentinelových lymfatických uzlín;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42837;Radikálna hysterektómia s transpozíciou vaječníkov, vaginálne a detekcia sentinelových lymfatických uzlín;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5q42838;Radikálna hysterektómia s transpozíciou vaječníkov, roboticky a detekcia sentinelových lymfatických uzlín;Skupina onkologických diagnóz 53;S44-41;Onkologické výkony - uterus - onko
5j52001;Resekcia časti steny hrudníka, uzáver defektu autológnym materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j52002;Resekcia časti steny hrudníka, uzáver defektu alogénnym materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j5231;Exstirpácia nádoru hrudnej steny bez resekcie rebra, torakotomicky;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j5232;Exstirpácia nádoru hrudnej steny bez resekcie rebra, torakoskopicky;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j524;Exstirpácia nádoru hrudnej steny s resekciou rebra;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j525;Excízia z hrudnej steny;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j5540;Excízia chorého tkaniva bránice bez uzáveru aloplastickým materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j5541;Excízia chorého tkaniva bránice s uzáverom aloplastickým materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j55510;Parciálna plastika bránice bez aloplastického materiálu;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j55511;Parciálna plastika bránice s aloplastickým materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j55520;Totálna plastika bránice bez aloplastického materiálu;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j55521;Totálna plastika bránice s aloplastickým materiálom;Skupina onkologických diagnóz 10;S44-44;Operačné výkony na hrudnej stene, pleure a bránici - onko
5j510a;Mediastinotómia kollárna;Skupina onkologických diagnóz 9;S44-46;Operačné výkony na mediastine - onko
5j5140;Otvorená chirurgická mediastinálna lymfadenektómia;Skupina onkologických diagnóz 9;S44-46;Operačné výkony na mediastine - onko
5j5142;Transcervikálna extenzívna mediastinálna lymfadenektómia;Skupina onkologických diagnóz 9;S44-46;Operačné výkony na mediastine - onko
5j515b0;Resekcia nádoru mediastina sternotomicky bez lymfadenektómie;Skupina onkologických diagnóz 9;S44-46;Operačné výkony na mediastine - onko
